event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
41,284500,4104507,363360,-0.219236,24.724,1.01111e+06,1.32095,0.97695,1,1,1,0.999366,0.98743,1,1,0,0,1,"[1]","[1]","[196489]","[0.0344313]","[-2.79718]","[196606]","[0.165497]","[1]","[11]","[1]","[0]","[-1461.35]","[-0.0153723]","[2.18605]",199916,-3.08314,1,"[391107]","[0.706226]","[0.191256]","[494372]","[0.999753]","[0]","[0]","[-0.924638]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[402538]","[0.64112]","[0.185757]","[490119]","[44014.3]","[1]","[1.8619]","[0.763355]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1046.64]",17271.9,"[6416.97]","[]","[17889.2]","[]"
74,284500,3504992,363360,0.219236,24.724,1.01111e+06,1.21412,1,0.991992,1,1,0.920516,0.965084,1,0,1,0,1,"[1]","[1]","[166158]","[0.370193]","[2.68903]","[177674]","[0.0407925]","[1]","[13]","[1]","[0]","[346.849]","[-0.029732]","[6.17152]",23754.6,-2.51807,4,"[361236,137169,59326.8,30597.1]","[1.29344,-0.205413,0.254936,-1.74133]","[-0.43299,2.66364,1.88255,-2.50164]","[708816,141436,62650,90117]","[0.996452,0.985032,0.907412,0.978735]","[4,4,0,0]","[0,1,0,0]","[-0.801067,0.664511,-0.930536,-0.748348]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[344036]","[1.29203]","[-0.428461]","[675362]","[51028.1]","[0]","[2.29922]","[0.698287]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[922.716]",3196.07,"[7887.9,6474.17,2083.59,6364.17]","[]","[4246.16]","[]"
112,284500,705950,363360,0.219236,24.724,1.01111e+06,1.21412,1,0.998525,1,1,0.99818,1.00146,1,0,1,0,1,"[1]","[1]","[271808]","[-2.38498]","[-0.419068]","[1.48828e+06]","[0.0085144]","[1]","[13]","[1]","[0]","[-270.23]","[-0.0206789]","[3.62071]",147394,-0.372625,3,"[365308,83547.5,48754.2]","[-1.53047,-1.07221,-1.43795]","[2.7823,2.81309,-0.190209]","[883703,136442,108967]","[1,0.994611,0.998997]","[0,0,0]","[0,0,0]","[-0.323068,-0.896055,-0.763905]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[475078]","[-1.45726]","[2.78555]","[1.07939e+06]","[93375.1]","[1]","[1.45321]","[0.663868]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[35865.6]",9555.92,"[10423.8,6073.46,2814.23]","[]","[35974.3]","[]"
179,284500,7042590,363360,0.219236,24.724,1.01111e+06,0.619412,0.97738,1,1,1,0.962262,1.00056,1,1,0,0,1,"[1]","[1]","[64860.2]","[0.319504]","[-0.941758]","[68199.1]","[0.124386]","[1]","[11]","[1]","[0]","[847.445]","[-0.0217175]","[1.5606]",42923.3,-2.59185,5,"[349880,275557,149594,24287.8,20550.6]","[0.250014,-0.0421712,1.28488,0.80461,2.16612]","[-2.79873,0.243307,1.03507,-1.77984,1.6753]","[361972,276118,292288,32975.5,90929]","[0.978812,0.993759,0.972508,0.99915,0.970003]","[0,0,4,0,0]","[0,0,0,0,0]","[-0.820017,-0.928632,-0.352528,-0.810085,-0.466239]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[377192,298592]","[0.241145,-0.0483387]","[-2.79637,0.246941]","[389799,299087]","[35126.3,9335.34]","[0,1]","[1.58313,3.62517]","[0.649336,0.229268]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[434.933]",7305.35,"[10875.5,3338.18,4147.73,1785.64,1250.66]","[]","[5872.72,15101.9]","[]"
254,284500,4110863,363360,0.219236,24.724,1.01111e+06,0.619412,0.96972,1,1,1,0.996053,0.99544,1,1,0,0,1,"[0]","[1]","[182139]","[1.31483]","[0.302496]","[363606]","[0.0344772]","[1]","[11]","[1]","[0]","[4410.31]","[0.023625]","[2.58321]",95308.3,-0.679434,4,"[203893,181416,108595,35946]","[0.305903,0.803559,2.41485,1.33733]","[2.90252,-3.0202,0.0350193,-1.87769]","[214766,244127,612422,73328.8]","[0.995253,0.997682,1,1]","[0,0,0,0]","[0,0,0,0]","[-0.913147,-0.377142,-0.768027,-0.903582]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[346161]","[0.555623]","[3.04702]","[418565]","[120039]","[0]","[0.896626]","[0.756363]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1977.38]",9417.87,"[2313.3,3085.8,9791,3553.95]","[]","[16656.8]","[]"
277,284500,7034906,363360,0.219236,24.724,1.01111e+06,0.934886,1,0.999434,1,1,0.995344,0.994531,1,0,1,0,1,"[1]","[1]","[29727.7]","[-2.28148]","[-3.06611]","[147052]","[0.163992]","[1]","[13]","[1]","[0]","[329.631]","[-0.000291011]","[0.026042]",132348,-1.28489,7,"[292317,277306,102438,63851.9,50902.1,32764.8,24968.2]","[-0.930866,0.379682,-0.748906,-0.181959,-0.635316,2.20917,-0.652243]","[0.11388,-2.95365,0.605492,3.02901,1.65831,2.53011,2.81735]","[428954,298624,132924,66184.6,61832.4,151047,30694.6]","[0.991235,0.989149,0.998361,0.982594,0.997697,0.974515,0.949814]","[0,0,0,0,0,0,0]","[0,0,0,0,0,0,0]","[-0.395003,-0.966666,-0.920549,-0.517616,-0.932511,-0.697809,-0.886747]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[361798,337425]","[-0.903168,0.300683]","[0.233194,-2.99327]","[526594,365516]","[85132.6,95594.4]","[0,0]","[1.02851,1.65051]","[0.773976,0.662483]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[249.544]",11038.4,"[3862.54,10916.9,4908.29,2127.53,5638.34,5402.05,3792.62]","[]","[4113.59,17983.9]","[]"
340,284500,4103806,363360,0.219236,24.724,1.01111e+06,1.26459,0.97949,1,1,1,0.9971,0.99672,1,1,0,0,1,"[1]","[1]","[69050.9]","[1.00806]","[-1.64084]","[107209]","[-0.0403919]","[1]","[11]","[1]","[0]","[-1562.34]","[-0.0112718]","[1.28937]",57250.3,3.13323,4,"[228015,85253.2,64711.8,24713.6]","[1.06267,-1.05873,2.33594,-0.825093]","[1.82014,-0.922467,-1.45208,-2.06999]","[369706,138259,337707,34091.6]","[1,0.994718,0.988303,0.975932]","[0,0,0,0]","[0,0,0,0]","[-0.850002,-0.815158,-0.835757,-0.680972]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[263384]","[1.07208]","[1.78374]","[430956]","[31438.2]","[0]","[2.97982]","[0.636338]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[507.643]",5283.94,"[13082.9,3138.73,4006.33,3365.81]","[]","[4526.22]","[]"
344,284500,4117098,363360,0.219236,24.724,1.01111e+06,1.22586,1.00588,1,1,1,0.954431,1.00306,1,1,0,0,1,"[1]","[1]","[249578]","[0.976044]","[2.34042]","[378202]","[0.0504322]","[1]","[11]","[1]","[0]","[-793.736]","[0.00401035]","[0.747001]",23815.7,-0.134381,3,"[310372,142136,23657.1]","[0.530513,-1.34513,-2.48539]","[-0.363565,-2.61181,0.240407]","[355441,291882,143008]","[0.992903,0.995744,0]","[4,0,0]","[0,0,0]","[-0.909614,-0.947695,-0.630911]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[316198,264889]","[0.544823,0.991002]","[-0.362905,2.33471]","[364580,405961]","[14298.1,0.00676582]","[0,1]","[3.02845,0]","[0.395758,-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2391]",8187.81,"[3818.6,5488.16,1884.02]","[]","[31993.1,6866.5]","[]"
375,284500,7042305,363360,0.274168,24.724,1.01111e+06,0.553627,0.99093,1,1,1,0.996177,1.00306,1,1,0,0,1,"[1]","[1]","[130169]","[0.945668]","[-2.50459]","[192843]","[-0.0626574]","[1]","[11]","[1]","[0]","[3593.16]","[-0.00699151]","[0.942535]",32320.8,-0.593225,5,"[175205,166596,98369.4,64464.6,30306.1]","[-1.45622,-0.165936,1.75425,1.68415,0.508949]","[-0.689852,1.5337,-3.03963,-0.0380607,2.07036]","[396520,169217,293062,179832,34965.7]","[0.998127,0.999567,0.28344,0.072416,0.996124]","[0,0,0,0,0]","[0,0,0,0,0]","[-0.884613,-0.779381,-0.909688,-0.813217,-0.762916]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[256475]","[1.38691]","[-2.69208]","[553930]","[97364.2]","[1]","[0.683373]","[0.586881]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1038.77]",414.078,"[6061.19,2465.33,5600.84,11170.5,2671.35]","[]","[0]","[]"
404,284500,4693714,363360,0.252887,24.724,1.01111e+06,0.923924,1,0.999264,1,1,1.2869,1.00146,1,0,1,0,1,"[1]","[1]","[56053.7]","[-2.10338]","[-0.693655]","[233067]","[0.0326195]","[1]","[13]","[1]","[0]","[50.2958]","[0.024256]","[2.32268]",62065,0.656506,5,"[614918,87277.7,65519.9,36094.7,22493.2]","[-0.498977,-1.05051,-0.979432,0.0523977,-0.835714]","[2.69248,1.11186,-0.967549,0.133059,-0.0134497]","[697120,140603,99939.8,36473.5,31338.2]","[0.998376,0.977269,0.995415,0.981977,0.941339]","[0,4,4,4,0]","[0,0,1,0,0]","[-0.505041,-0.691432,-0.59193,0.844535,-0.799271]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[595509]","[-0.524146]","[2.69772]","[683080]","[72695.3]","[0]","[1.21598]","[0.549207]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[998.577]",3547.71,"[8155.02,2376.37,6200.77,1332.26,2598.23]","[]","[13078.2]","[]"
449,284500,3871938,363360,0.219236,24.724,1.01111e+06,1.24168,0.96709,1,1,1,0.99779,1.00936,1,1,0,0,1,"[1]","[1]","[142950]","[0.111887]","[0.808261]","[143846]","[-0.0706711]","[1]","[11]","[1]","[0]","[-1052.22]","[-0.0175034]","[3.09096]",147660,1.77125,3,"[284251,276357,110162]","[1.59,-1.25044,-0.305273]","[-2.42568,-0.448032,2.63744]","[726021,522390,115741]","[0.819202,0.990398,0.994994]","[0,0,0]","[0,0,0]","[-0.838003,-0.685479,-0.593132]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[308302,256489]","[1.56976,-1.27486]","[-2.42458,-0.449997]","[772850,494861]","[0.0078125,11544.7]","[1,0]","[0,1.85936]","[-1,0.0324248]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1901.28]",1541.34,"[4292.6,6074.05,5898.85]","[]","[4315.47,5725.39]","[]"
552,284500,2914266,363360,-0.219236,24.724,1.01111e+06,1.25133,0.98697,1,1,1,0.998,1.00582,1,1,0,0,1,"[1]","[1]","[206928]","[-0.463867]","[-0.924794]","[229593]","[-0.0123615]","[1]","[11]","[1]","[0]","[-954.442]","[0.0121294]","[1.66007]",110900,-1.31331,3,"[274873,45782.7,33382.4]","[0.674057,0.650671,1.39088]","[1.88252,2.55278,-2.2486]","[339987,56008.8,71331.1]","[0.995019,0.997313,1]","[0,0,0]","[0,0,0]","[-0.808213,-0.886671,-0.873689]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[323172]","[0.696407]","[1.95873]","[417853]","[103793]","[1]","[1.32191]","[0.635939]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1419.84]",25948.6,"[4159.55,5223.3,4183.95]","[]","[19456.8]","[]"
554,284500,2914556,363360,0.219236,24.724,1.01111e+06,1.25133,1,0.990564,1,1,0.997043,0.982431,1,0,1,0,1,"[1]","[1]","[25517]","[-1.78824]","[-1.90024]","[78416.3]","[-0.0476875]","[1]","[13]","[1]","[0]","[-316.814]","[-0.0264017]","[2.0272]",118476,-2.63771,4,"[487557,381122,40305.7,37044.9]","[0.0163769,-0.549916,-1.05627,-0.92228]","[1.56303,-1.1571,-2.61165,-1.78873]","[490417,441083,65298.3,54213.1]","[1,0.99852,0.973763,1]","[0,0,0,0]","[0,0,0,0]","[-0.875144,-0.657116,-0.882174,-0.791608]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[476033,381582]","[-0.000574069,-0.575669]","[1.56479,-1.15961]","[478609,447091]","[49589.4,21465.3]","[0,1]","[1.07934,2.11161]","[0.637828,0.61791]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[38.4316]",5020.98,"[13622.2,8885.25,6940.1,6105.83]","[]","[22062.1,4776.78]","[]"
615,284500,5233399,363360,0.219236,24.724,1.01111e+06,0.738662,1,0.999738,1,1,0.993286,0.994688,1,0,1,0,1,"[1]","[1]","[107937]","[-1.44435]","[-1.4978]","[241509]","[0.0207748]","[1]","[13]","[1]","[0]","[-324.339]","[0.00214317]","[0.257795]",33298.6,0.0445076,7,"[586271,323290,239485,67370.8,67224.4,39493.1,32231.1]","[-1.48526,-0.462901,0.799999,-1.68398,-2.26871,-0.645356,-0.427516]","[1.19639,-2.51192,-1.48643,0.825909,-2.20537,-1.86273,1.79484]","[1.36188e+06,363645,321174,187832,328544,48430,35771.3]","[1,1,0.992285,0.992236,0.99265,0.998438,0.990063]","[0,0,0,0,0,0,0]","[0,0,0,0,0,0,0]","[-0.875712,-0.750398,-0.405117,-0.627567,-0.777634,-0.919016,-0.00098331]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[595854,353789]","[-1.53194,-0.528852]","[1.15686,-2.45574]","[1.44548e+06,415105]","[85803.1,93541.3]","[0,0]","[1.873,1.57835]","[0.65969,0.586283]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2973.17]",49830,"[36507.3,13566.5,4360.97,3441.3,2365.65,4627.31,8744.25]","[]","[39621.7,2366.78]","[]"
630,284500,5326480,363360,-0.219236,24.724,1.01111e+06,0.553627,1,0.984531,1,1,1.0958,1.00735,1,0,1,0,1,"[1]","[1]","[312056]","[1.75046]","[-0.850185]","[925396]","[-0.0132418]","[1]","[13]","[1]","[0]","[-741.431]","[0.00784371]","[1.80341]",68467.3,0.308679,2,"[385907,54424]","[-0.0503564,-0.133554]","[2.30123,1.74674]","[387576,55189]","[0.927231,0.971023]","[0,4]","[0,1]","[0.975043,-0.945523]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[405401]","[-0.0527667]","[2.23689]","[415929]","[90492.3]","[1]","[1.70836]","[0.667219]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[7971.94]",2979.5,"[5755.58,1350.48]","[]","[1160.84]","[]"
632,284500,5330782,363360,0.219236,24.724,1.01111e+06,0.75088,1,0.998104,1,1,0.952273,0.929528,1,0,1,0,1,"[1]","[1]","[338068]","[-0.897701]","[2.17679]","[483685]","[-0.015728]","[1]","[13]","[1]","[0]","[-145.745]","[0.00479588]","[1.27682]",139949,2.27592,3,"[304030,155787,99564.9]","[-0.250486,0.026566,0.138322]","[-1.30373,-0.0699502,-1.13609]","[314729,156164,100825]","[0.985768,0.992405,0.986152]","[4,0,0]","[1,0,0]","[-0.585922,-0.953085,-0.945243]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[406480]","[-0.170289]","[-1.2579]","[422135]","[90187.7]","[1]","[0.97282]","[0.576561]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3316.99]",2722.53,"[8180.79,3979.69,2600.52]","[]","[15679.8]","[]"
644,284500,5531148,363360,0.278777,24.724,1.01111e+06,0.596562,1,0.998159,1,1,0.995757,0.57699,1,0,1,0,1,"[0]","[1]","[27811.1]","[-0.095521]","[-1.57376]","[27938.2]","[0.0100479]","[1]","[13]","[1]","[0]","[-132.342]","[-0.00328943]","[0.382703]",969700,-1.3529,2,"[584637,423204]","[0.500937,0.21406]","[1.88546,1.51881]","[664750,433147]","[0.997855,0.995159]","[0,0]","[0,0]","[-0.849837,-0.760715]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[955835]","[0.405834]","[1.73708]","[1.06373e+06]","[242846]","[1]","[1.02967]","[0.510041]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[134.073]",13978.5,"[17035.7,4541.72]","[]","[55024.6]","[]"
649,284500,5601429,363360,0.219236,24.724,1.01111e+06,0.75088,1.00588,1,1,1,0.958306,1.00306,1,1,0,0,1,"[1]","[1]","[165202]","[1.1223]","[-1.45273]","[280633]","[-0.0413971]","[1]","[11]","[1]","[0]","[-1194.32]","[0.0188754]","[1.9743]",161995,-0.898667,4,"[248498,69502.2,37229.9,22155.5]","[1.1785,1.61758,1.37764,0.643219]","[1.94086,2.33751,0.191994,2.97792]","[442650,182186,79132.2,27526]","[0.990299,0.983599,0.992196,0.933715]","[4,0,0,0]","[1,0,0,0]","[-0.87714,-0.909753,-0.577448,-0.917559]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[340892]","[1.27742]","[2.02236]","[665728]","[94653.9]","[1]","[1.09813]","[0.358048]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2093.31]",6736.3,"[10566.6,3661.81,2463.06,1768.16]","[]","[15302.5]","[]"
661,284500,4578011,363360,0.0294171,24.724,1.01111e+06,0.923924,0.97826,1,1,1,0.962167,1.00493,1,1,0,0,1,"[1]","[1]","[99817.9]","[-1.18973]","[0.612231]","[179199]","[-0.075285]","[1]","[11]","[1]","[0]","[1434.31]","[-0.00834449]","[0.794521]",234889,1.21855,2,"[220148,113693]","[0.116565,0.00318246]","[-2.2774,-1.79592]","[222161,113943]","[0.997603,0.947281]","[0,4]","[0,1]","[-0.940892,-0.725407]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[320472]","[0.0685743]","[-2.12491]","[328496]","[68726.4]","[1]","[0.763011]","[0.761403]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[805.976]",24435.7,"[6377.86,1691.15]","[]","[20285.4]","[]"
691,284500,6577924,363360,0.219236,24.724,1.01111e+06,0.934886,1.00802,0.995009,1,1,0.998289,0.813525,1,0,1,0,2,"[1,0]","[1,0]","[210160,7657.9]","[0.12851,0.902875]","[-1.56978,0.32565]","[211898,10997.1]","[0.00483322,0.126854]","[1,1]","[13,11]","[1,1]","[0,2014.22]","[551.738,3630.96]","[0.0147016,0.0152696]","[2.18417,0.297937]",56915.8,-1.36607,2,"[191398,87257.3]","[1.01835,0.167287]","[1.74292,1.29318]","[300002,89623.8]","[0.998128,0.999836]","[0,0]","[0,0]","[-0.946764,-0.2727]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[269863]","[0.861657]","[1.61406]","[402244]","[141862]","[1]","[0.956867]","[0.770756]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[20801.9,129.669]",8186.09,"[7842.13,2131.84]","[]","[14971.7]","[]"
722,284500,4695366,363360,0.305442,24.724,1.01111e+06,1.24168,1,0.990922,1,1,0.957168,0.57699,1,0,1,0,1,"[1]","[1]","[109503]","[-0.117656]","[-2.0217]","[110261]","[-0.0631714]","[1]","[13]","[1]","[0]","[-320.945]","[0.00330223]","[0.43408]",42964.6,-2.32802,4,"[244988,169635,89569.5,79485]","[0.518225,2.44402,2.34256,0.530723]","[-2.11014,0.532223,1.11604,2.99046]","[278735,984488,470442,91667.8]","[0.998795,1,1,0.999742]","[0,0,4,0]","[0,0,1,0]","[-0.944526,-0.42087,-0.136432,-0.726961]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[250277]","[0.544153]","[-2.10819]","[288299]","[5064.13]","[1]","[7.97248]","[0.313944]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[7449.57]",7189.68,"[2975.42,7698.16,2404.27,7916.58]","[]","[11210.2]","[]"
729,284500,5294187,363360,0.356999,24.724,1.01111e+06,1.25133,0.94641,1,1,1,0.998422,1.01211,1,1,0,0,1,"[1]","[1]","[35613]","[-2.01303]","[1.54638]","[135677]","[0.137295]","[1]","[11]","[1]","[0]","[904.195]","[-0.00877164]","[0.31066]",99168.9,-2.55295,3,"[400530,341138,34329.3]","[0.406189,-0.900814,-0.108394]","[0.236223,-2.95599,0.214444]","[437033,489563,34832.7]","[0.990529,1,0.921324]","[0,0,0]","[0,0,0]","[-0.920402,-0.895998,-0.929929]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[425393,326727]","[0.354199,-0.922209]","[0.238529,-2.95971]","[457626,475868]","[69244.1,8494.95]","[1,0]","[1.57899,1.03959]","[0.71232,-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[414.545]",1175.14,"[4361.01,4316.18,1860.41]","[]","[11962.1,3022.88]","[]"
738,284500,5368164,363360,0.219236,24.724,1.01111e+06,1.22586,1,0.9968,1,1,0.998061,0.952143,1,0,1,0,1,"[1]","[1]","[54884.9]","[-0.432106]","[1.40748]","[60089.1]","[0.0109234]","[1]","[13]","[1]","[0]","[31.8401]","[-0.0215727]","[3.87031]",225855,0.962276,4,"[254693,94337.4,44021.4,36549.2]","[-0.684384,0.176041,1.05433,-1.05048]","[-2.36267,2.78558,-0.798338,-3.10553]","[317626,96021.4,71452.4,58907.8]","[0.997097,0.99666,0.97762,0.988575]","[0,0,0,0]","[0,0,0,0]","[-0.877629,-0.932095,-0.740852,-0.543282]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[298518]","[-0.724132]","[-2.42705]","[390705]","[89717.3]","[0]","[2.15606]","[0.550976]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[518.77]",2046.48,"[3098.02,4925.01,13073.9,6354.39]","[]","[29261.2]","[]"
752,284500,6775540,363360,-0.154773,24.724,1.01111e+06,1.08735,0.97996,1,1,1,0.997014,1.01265,1,1,0,0,1,"[1]","[1]","[182928]","[1.72496]","[2.2871]","[529618]","[0.104561]","[1]","[11]","[1]","[0]","[-1504.03]","[-0.00725994]","[0.50188]",96006.7,1.79918,3,"[306762,22229.5,21057.5]","[0.700817,2.25298,0.578312]","[-1.06323,2.25467,-0.0795645]","[385635,106958,24868.8]","[1,0.99,1]","[0,0,0]","[0,0,0]","[-0.814653,-0.689234,-0.823693]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[292447]","[0.725602]","[-1.06441]","[373346]","[18832.1]","[1]","[3.16304]","[0.687134]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2247.12]",4753.94,"[4589.8,1908.03,1184.59]","[]","[27787.9]","[]"
791,284500,5430169,363360,0.219236,24.724,1.01111e+06,1.32095,0.98089,1,1,1,0.957999,0.99866,1,1,0,0,1,"[1]","[1]","[174053]","[-1.10707]","[0.00883861]","[292061]","[-0.00551701]","[1]","[11]","[1]","[0]","[2809.08]","[-0.0152188]","[1.20856]",62358.4,2.95303,4,"[332946,90398.1,48788.7,38742]","[0.28606,-0.560618,-1.7262,2.15127]","[-2.8781,0.212308,0.411028,0.393816]","[347208,105273,141600,168828]","[0.996276,0.998918,0.998377,0.993133]","[0,4,0,0]","[0,1,0,0]","[-0.958099,-0.770799,-0.672177,-0.596907]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[354088,308724]","[0.295899,-1.12562]","[-2.87904,0.118562]","[370220,548751]","[19567.6,156885]","[0,1]","[2.88402,1.6901]","[0.660906,0.233935]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2275.75]",475.121,"[5373.78,5991.85,7414.67,2369.98]","[]","[1374.03,2994.91]","[]"
890,284500,5805272,363360,0.219236,24.724,1.01111e+06,1.55465,0.97996,1,1,1,0.954062,1.01265,1,1,0,0,1,"[1]","[1]","[182086]","[1.72813]","[-2.22241]","[528754]","[0.000323296]","[1]","[11]","[1]","[0]","[-925.345]","[-0.0122832]","[1.74848]",168389,-2.43687,6,"[273249,61649.3,44699.2,44146.9,40451.1,30721.4]","[0.743437,2.36528,0.140404,2.27538,0.914771,2.45468]","[0.810401,1.69582,0.20197,2.85541,0.187185,-2.01457]","[352809,331113,45436.5,217196,59207.4,180213]","[0.996974,0.994718,1,0.999324,0.99,0.984726]","[0,4,0,0,0,0]","[0,1,0,0,0,0]","[-0.323831,-0.94353,-0.781784,-0.906645,-0.774112,-0.00865277]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[309392]","[0.698646]","[0.67506]","[407355]","[124004]","[0]","[1.5111]","[0.342663]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2618.12]",5405.2,"[3067.68,4390.09,2170.94,5904.31,2962.46,2416.62]","[]","[11150.9]","[]"
904,284500,6383012,363360,0.219236,24.724,1.01111e+06,0.351687,1,1.00078,1,1,0.99363,0.995972,1,0,1,0,1,"[1]","[1]","[534629]","[1.31046]","[-1.76814]","[1.06326e+06]","[-0.0161724]","[1]","[13]","[1]","[0]","[-64.9999]","[0.00436766]","[1.05068]",51100.7,2.47248,6,"[390084,111475,68994.8,32718.4,26670.5,21409.5]","[0.83857,2.27373,-0.845224,0.0972862,2.1398,-1.89673]","[1.3517,1.96867,-0.0870403,1.17844,2.58751,-0.324539]","[535935,547457,95495.6,33418.6,115057,73084.5]","[0.997837,0.990177,0.978867,0.983123,0.978104,0.927581]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[-0.596582,-0.946907,-0.946322,-0.662577,-0.873273,-0.792578]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[371610]","[0.826726]","[1.35602]","[506072]","[8299.14]","[1]","[1.50743]","[0.135932]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[65518.9]",810.047,"[10412.1,3277.99,6356.18,2194.49,5409.72,1603.79]","[]","[32342.7]","[]"
