event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
8019,284500,779166,364126,1,1.76415,2.94274e+06,1.22586,0.97199,1,1,1,0.996773,0.99121,1,1,0,0,1,"[1]","[1]","[43636.4]","[0.282755]","[-0.872989]","[45392.4]","[-0.0375977]","[-1]","[11]","[1]","[0]","[-87.9637]","[0.00723188]","[0.696471]",13526.2,-2.20065,3,"[392442,388469,25228.3]","[0.775081,1.99266,-2.40587]","[0.609578,-2.61057,1.95789]","[516848,1.45137e+06,141045]","[0.998818,0.993837,0.991593]","[0,0,0]","[0,0,0]","[-0.5211,-0.975768,-0.885414]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[408253,388233]","[1.97168,0.726245]","[-2.61113,0.610668]","[1.49477e+06,495661]","[22089.9,21481.1]","[0,0]","[4.77496,1.25672]","[0.656705,0.363219]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[510.057]",14538.6,"[11549.6,11347.9,2666.91]","[]","[15509.8,856.156]","[]"
18293,284500,326748,364126,1.11088,1.76415,2.94274e+06,1.08735,0.922219,1,1,1,0.995588,0.94369,1,1,0,0,3,"[1,1,0]","[1,0,0]","[44529.9,22768,8099.5]","[-1.19174,0.544278,-0.225643]","[2.94632,0.0563582,-1.09989]","[80075.6,26224.4,8306.56]","[-0.0387077,0.0208397,84.8737]","[-1,1,1]","[11,11,11]","[1,1,0]","[0,2239.57,0]","[-283.88,1857.04,-1623.3]","[-0.00999139,-0.00172833,-0.015296]","[1.13672,0.114537,0.117461]",57377.1,1.21679,5,"[247145,186591,48427.2,38320.8,32212.8]","[-1.54725,-2.30556,0.148417,1.24014,-1.64837]","[2.16534,-1.2052,-0.592038,-0.126112,-1.47966]","[607318,945148,49355.1,72180.3,87102.4]","[0.997402,1,0.994356,0.975279,0.930268]","[0,0,0,0,0]","[0,0,0,0,0]","[-0.73214,-0.926756,-0.898449,-0.729374,-0.828785]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[278343]","[-1.54881]","[2.28149]","[691724]","[99748.2]","[0]","[1.09948]","[0.646861]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[187.008,97.2665,73.2972]",6485.54,"[12466.3,4442.76,4699.83,3123.1,2386.07]","[]","[9625.12]","[]"
22550,284500,338129,364126,1,1.76415,2.94274e+06,1.74563,0.98089,1,1,1,1.44067,0.99866,1,1,0,0,1,"[1]","[1]","[260077]","[-0.94395]","[2.33584]","[384809]","[-0.0167084]","[1]","[11]","[1]","[9300.8]","[3234.28]","[-0.00594651]","[1.13137]",34439.2,-2.20602,5,"[606861,157940,112954,41900.8,27449.9]","[-0.3987,-1.40444,1.72471,2.31594,-0.431573]","[-0.963906,2.60611,1.4367,1.07601,2.15846]","[656896,341186,327061,214459,30144.2]","[0.998666,0.983044,0.99561,0.995167,0.990111]","[0,0,0,4,0]","[0,0,0,0,0]","[-0.952966,-0.867049,-0.334444,0.946852,-0.907051]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[618645,528416]","[-0.435178,-1.07002]","[-0.963771,2.45551]","[679237,872733]","[38332.4,143174]","[0,0]","[2.49561,1.1522]","[0.726511,0.171923]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2687.71]",12606.8,"[7423.42,6531.53,3516.64,3507.34,1797.45]","[]","[69821.6,11292.8]","[]"
23830,284500,348318,364126,1,1.76415,2.94274e+06,1.24168,0.98536,1,1,1,0.998266,0.9918,1,1,0,0,1,"[1]","[1]","[148125]","[-0.646509]","[0.0100789]","[180174]","[-0.0557632]","[1]","[11]","[1]","[0]","[423.244]","[-0.00969083]","[1.46932]",29877,1.23829,3,"[348100,264767,113155]","[-0.780731,-2.29915,-1.41756]","[-2.15826,1.80359,-0.186063]","[461291,1.33264e+06,247234]","[0.995037,1,1]","[0,0,0]","[0,0,0]","[-0.806773,-0.840333,-0.987736]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[334532,255326]","[-0.80568,-1.00896]","[-2.15973,-0.0598934]","[450962,409928]","[40830.2,103318]","[0,0]","[1.40798,0.0133108]","[0.717653,0.308062]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1100.24]",814.207,"[4153.27,4501.13,3799]","[]","[3820.16,16924]","[]"
29373,284500,321915,364126,1,1.76415,2.94274e+06,0.934886,0.923917,1,1,1,0.981605,1.0005,1,1,0,0,2,"[1,1]","[1,1]","[261623,36815.1]","[2.0965,2.22196]","[-0.891253,-1.82083]","[1.08057e+06,171812]","[-0.0880089,0.0120125]","[-1,1]","[11,11]","[1,1]","[13312.1,0]","[615.286,806.051]","[0.0209164,0.0202713]","[1.85648,1.49307]",42679.7,-0.984604,3,"[384106,66795.2,24606.9]","[-2.25012,1.49277,1.72242]","[2.13012,-0.819204,-0.328363]","[1.84277e+06,156742,71201.7]","[0.995518,0.984677,1]","[0,0,4]","[0,0,0]","[-0.985244,-0.925019,0.780367]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[371787]","[1.99688]","[-0.874642]","[1.39753e+06]","[91401.5]","[0]","[1.6403]","[0.752868]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3310.16,46.1123]",2002.13,"[7462.39,4212.13,3243.43]","[]","[784.5]","[]"
34029,284500,556718,364126,1,1.76415,2.94274e+06,1.26459,0.96538,1,1,1,0.998229,0.99741,1,1,0,0,1,"[1]","[1]","[49405.5]","[1.71525]","[0.456734]","[141744]","[-0.0135727]","[-1]","[11]","[1]","[0]","[599.376]","[0.0101933]","[0.484872]",20433.9,2.75973,3,"[317618,255444,169897]","[-0.904688,1.36007,1.38662]","[-2.6895,1.03594,-0.72575]","[457607,531246,361326]","[0.953664,0.990375,1]","[0,0,0]","[0,0,0]","[-0.785637,-0.0619318,-0.991282]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[316097,296917]","[-0.925412,1.45222]","[-2.69312,0.927619]","[461581,673068]","[13378.8,73467.1]","[0,0]","[1.57952,1.18064]","[0.0770097,0.491805]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[214.744]",6327.08,"[6247.86,14474.4,4439.29]","[]","[3673.41,959.969]","[]"
46643,284500,1136382,364126,1,1.76415,2.94274e+06,1.22586,0.950669,1,1,1,0.994353,1.00582,1,1,0,0,2,"[1,1]","[1,0]","[522663,12814.3]","[-0.151795,-0.263575]","[1.65374,0.571706]","[528696,13262]","[-0.0350914,-0.0796509]","[-1,1]","[11,11]","[1,1]","[0,0]","[-1064.97,1814.04]","[0.0195347,-0.00652744]","[1.62248,0.589078]",8641.16,0.585523,5,"[342496,150836,50474.7,29819.5,21607.8]","[0.617037,0.250509,0.529945,1.66505,1.96075]","[-1.30816,-1.87889,-2.27252,-0.569246,2.00226]","[411957,157400,57978.5,81973,78415.8]","[0.992221,0.998012,1,0.996396,0.965425]","[0,0,0,0,0]","[0,0,0,0,0]","[-0.863512,-0.78214,-0.713908,-0.679855,-0.611828]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[539118,490131]","[-0.116087,0.571155]","[1.64824,-1.55502]","[542754,611715]","[0.00822866,216099]","[0,0]","[0,1.23638]","[-1,0.618566]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[4423.24,230.824]",21066.8,"[7727.36,3894.75,2007.89,2570.68,1764.88]","[]","[22655.1,19652.6]","[]"
65863,284500,1301986,364126,1,1.76415,2.94274e+06,1.26205,0.97996,1,1,1,0.994104,1.01265,1,1,0,0,1,"[1]","[1]","[181354]","[1.68302]","[0.0237131]","[504854]","[0.108225]","[1]","[11]","[1]","[0]","[735.172]","[-0.0133582]","[1.42183]",7867.61,1.11163,9,"[204506,83827.7,67199.3,58437.5,58326.5,48322.5,25059.8,24704.9,20869.9]","[0.818855,0.359254,0.530423,-1.25713,-0.0676918,1.4185,1.03829,-0.488161,0.30408]","[-3.13578,2.86898,-1.03834,1.60251,-0.623288,1.24309,-2.61771,-0.339104,-1.51233]","[277466,89859.8,78044.7,111343,59884.2,105679,39993.4,27939.9,22133.1]","[0.997768,0.993816,0.999945,0.994537,0.99778,0.99197,0.930886,1,0.99972]","[0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0]","[0.0197983,-0.911873,-0.753041,-0.931804,-0.82698,-0.972215,-0.847015,-0.918306,-0.839111]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[281298]","[0.72283]","[3.08606]","[366013]","[75975.6]","[0]","[1.23898]","[0.801383]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3992.49]",1611.38,"[10511.8,4196.96,2757.06,2768.03,1953.96,3119.77,3240.75,3727.03,1232.95]","[]","[5014.06]","[]"
87299,284500,2716375,364126,1,1.76415,2.94274e+06,0.696077,0.96254,1,1,1,0.997295,1.00306,1,1,0,0,2,"[1,1]","[1,1]","[98586.4,78670.1]","[1.13065,1.87555]","[1.66175,2.38343]","[168607,262667]","[0.0204163,0.0195618]","[1,-1]","[11,11]","[1,1]","[0,0]","[715.558,-188.382]","[0.00749982,-0.000957559]","[0.937385,0.0593115]",41505.2,-0.60527,3,"[332956,134752,111540]","[-1.94357,1.86766,0.594628]","[-1.68165,1.72848,0.65333]","[1.18651e+06,446640,132345]","[0.998737,0.959532,1]","[0,0,0]","[0,0,0]","[-0.850131,-0.560418,-0.814167]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[332999,307183]","[-1.96252,1.69848]","[-1.68401,1.87397]","[1.20843e+06,883140]","[7372.66,165083]","[0,0]","[0,1.02139]","[-1,0.048684]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[601.085,505.311]",5356.66,"[5333.97,4525.07,6163.88]","[]","[1954.25,1293.53]","[]"
88768,284500,1069803,364126,1,1.76415,2.94274e+06,1.32095,0.97738,1,1,1,0.956144,1.00056,1,1,0,0,1,"[1]","[1]","[65081.5]","[0.58039]","[0.117087]","[76354.1]","[-0.0910301]","[1]","[11]","[1]","[11215]","[1146.82]","[0.00957047]","[1.55318]",5227.1,1.41678,3,"[257351,240049,103350]","[1.42907,-0.368008,-0.910788]","[2.14013,-2.40306,0.437025]","[568383,257945,149846]","[0.997603,0.993992,0.99]","[4,0,0]","[0,0,0]","[0.511697,-0.902396,-0.758939]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[259665]","[0.350869]","[-0.340279]","[294845]","[104214]","[0]","[0.747753]","[0.601378]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[396.245]",6523.37,"[6931.76,8040.41,7827.4]","[]","[7543.23]","[]"
89151,284500,127376,364126,1,1.76415,2.94274e+06,0.553627,0.959565,1,1,1,0.994075,0.99866,1,1,0,0,2,"[1,1]","[1,1]","[589768,89059]","[-0.957354,-1.33475]","[-0.647475,-0.511548]","[881321,180891]","[-0.0552578,-0.0827241]","[-1,1]","[11,11]","[1,1]","[0,2809.55]","[271.103,-2046.39]","[-9.52003e-05,0.0163207]","[0.0103079,2.25808]",69198.3,-3.05708,4,"[658845,40406.7,23920.6,20310]","[0.172761,-0.326591,-0.907431,-1.06609]","[2.56111,0.847001,-0.00249914,0.689056]","[669758,43322.4,34669.9,33166.2]","[0.998945,0.976546,0.998698,0.806985]","[0,0,0,0]","[0,0,0,0]","[-0.813597,-0.910956,-0.185259,-0.803888]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[706246,640274]","[-1.02116,0.170157]","[-0.628149,2.55656]","[1.11187e+06,649921]","[97290.4,21502]","[0,0]","[0,6.80426]","[-1,0.183758]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[7866.23,479.029]",1950.25,"[8280.75,2432.04,1837.69,1277.99]","[]","[12449.1,25537.7]","[]"
99113,284500,1334065,364126,1,1.76415,2.94274e+06,0.738662,0.903881,1,1,1,0.952464,1.04398,1,1,0,0,2,"[1,1]","[1,1]","[41125.2,29654.5]","[2.15746,0.0681107]","[-0.544102,-1.18781]","[180227,29723.3]","[0.202967,-0.0254612]","[-1,1]","[11,11]","[1,1]","[0,0]","[708.487,-927.223]","[0.00491198,-0.00427817]","[0.374361,0.415835]",26060.7,2.38713,4,"[258216,227560,39464.3,30746.2]","[-1.95823,1.867,-0.12238,0.848031]","[2.10907,-1.05233,1.63412,-0.453579]","[933548,753833,40562.5,42950.6]","[0.993244,0.966514,0.623695,0.636493]","[0,4,0,0]","[0,0,0,0]","[-0.82364,0.0930645,-0.924854,-0.922032]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[272440]","[1.93705]","[-0.96443]","[968655]","[86739.9]","[0]","[1.17725]","[0.75141]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[99.3184,42.0685]",5280.94,"[10760.4,3556.37,7719.94,3479.73]","[]","[14930.8]","[]"
105691,284500,1338199,364126,1,1.76415,2.94274e+06,0.75088,0.893636,1,1,1,1.48796,0.9244,1,1,0,0,2,"[1,1]","[1,1]","[48469.6,32455]","[1.35448,2.12552]","[-0.838562,1.90622]","[100158,137879]","[-0.036375,-0.00529671]","[-1,1]","[11,11]","[1,1]","[0,0]","[661.533,342.632]","[0.0577947,-0.0329217]","[1.77706,1.81056]",49062,1.16124,3,"[242224,64581.5,28650.5]","[1.37475,0.457243,0.52799]","[1.44843,-0.855634,1.02485]","[509790,72039.2,33556.7]","[0.99,0.999542,0.992758]","[4,0,0]","[0,0,0]","[0.932002,-0.715591,-0.787494]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[270679]","[1.51803]","[1.50861]","[656743]","[111289]","[0]","[1.40831]","[0.553483]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[683.876,38.7947]",10939.9,"[8893.66,5756.88,4087.72]","[]","[11614]","[]"
108658,284500,1441216,364126,1,1.76415,2.94274e+06,1.26459,0.925448,1,1,1,0.999274,1.00021,1,1,0,0,2,"[1,1]","[1,1]","[63857.9,27324.9]","[0.784193,0.0172539]","[1.37136,-1.56505]","[84520,27329]","[0.044178,-0.0280151]","[1,-1]","[11,11]","[1,1]","[0,0]","[1510.63,304.829]","[0.015203,-0.0237091]","[1.4692,2.28276]",11542.5,1.09914,2,"[272118,256441]","[-0.673601,-0.509518]","[-0.672145,2.66771]","[336836,290864]","[0.974688,0.992825]","[0,0]","[0,0]","[-0.828714,-0.873152]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[273864,257395]","[-0.668885,-0.507301]","[-0.675777,2.66875]","[337923,291348]","[17944.3,8185.55]","[0,0]","[4.00588,7.62131]","[0.726984,0.3083]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[135.746,120.407]",1312.45,"[3723.36,3553.95]","[]","[4693.41,0]","[]"
110826,284500,1441080,364126,1,1.76415,2.94274e+06,1.26459,0.96558,1,1,1,0.997735,0.99746,1,1,0,0,1,"[1]","[1]","[74173]","[-1.66644]","[-1.72959]","[203317]","[-0.00179672]","[-1]","[11]","[1]","[0]","[-241.921]","[-0.00609511]","[0.364085]",65460.9,-0.879566,4,"[285131,79113.8,31690.2,26999]","[-0.795277,-0.232785,0.248647,1.00402]","[2.45183,-0.644922,1.63323,0.645399]","[380830,81952,33340.6,42141]","[0.999241,0.988686,0.878483,0.99299]","[0,0,0,0]","[0,0,0,0]","[-0.792692,-0.730137,-0.503108,0.526362]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[271397]","[-0.77466]","[2.45997]","[357305]","[15135.8]","[0]","[2.97884]","[0.456507]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1030.29]",11498.8,"[4833,1868.58,3957.95,3010.86]","[]","[2288.66]","[]"
119321,284500,1440865,364126,1,1.76415,2.94274e+06,1.26459,0.9823,1,1,1,0.997977,1.00632,1,1,0,0,1,"[1]","[1]","[111873]","[0.331656]","[0.537005]","[118083]","[-0.0457993]","[-1]","[11]","[1]","[0]","[2654.03]","[0.00975701]","[1.43061]",35582.8,0.360957,3,"[302678,204849,20836]","[0.296739,0.658623,-0.670752]","[-2.19113,1.0245,2.4664]","[317202,251772,26268.2]","[0.997989,0.995866,0.965574]","[0,0,0]","[0,0,0]","[-0.771883,-0.878701,-0.869101]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[324199,298798]","[0.594572,0.335401]","[0.849973,-2.19773]","[396674,316382]","[102467,19789.6]","[0,0]","[0.696832,1.89723]","[0.681613,0.423097]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1308.48]",16335.6,"[3725.02,3141.1,3227.43]","[]","[7769.03,30179.8]","[]"
119505,284500,1441674,364126,1,1.76415,2.94274e+06,1.26205,0.96623,1,1,1,0.99837,1,1,1,0,0,2,"[1,1]","[1,1]","[151990,46588]","[0.610416,-0.428784]","[2.7395,3.01549]","[181197,50936.8]","[-0.0523858,0.0186062]","[1,-1]","[11,11]","[0,1]","[0,0]","[-1955.63,-372.901]","[-0.0289545,-0.0333587]","[4.20083,2.81659]",40441.2,1.34086,3,"[329017,104382,66766.7]","[0.890035,0.358541,1.09966]","[-0.8346,2.08878,1.10949]","[468668,111424,111678]","[1,0.977693,0.995471]","[0,0,0]","[0,0,0]","[-0.956293,-0.903978,-0.917925]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[318013,252533]","[0.897881,0.542476]","[-0.843397,2.4676]","[455304,301868]","[15211.3,81663.9]","[0,0]","[2.35444,0.31566]","[0.468451,0.616943]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[860.66,258.874]",28269.7,"[5031.99,6780.07,3125.53]","[]","[3404.97,18342.9]","[]"
124746,284500,1608410,364126,1,1.76415,2.94274e+06,1.24168,0.920922,0.996048,1,1,1.44785,1.00531,1,1,0,0,3,"[1,1,0]","[1,1,0]","[63255.6,27108.8,7817.43]","[-0.144346,-0.779056,2.29786]","[-2.25395,1.2802,0.0793151]","[63915.8,35759.9,39295.9]","[0.0267181,-0.0874939,-84.5753]","[1,-1,1]","[11,11,13]","[1,1,1]","[0,0,0]","[-317.818,-32.5134,702.411]","[0.0107174,-0.00111882,0.0434789]","[1.5895,0.0686913,1.68319]",51772.2,-2.77845,3,"[279435,119378,79848.4]","[0.557915,-0.98836,-1.69601]","[1.18124,-2.16841,-1.46818]","[324978,183215,225651]","[0.996447,1,0.995875]","[4,4,0]","[0,0,0]","[-0.832923,0.843933,-0.349693]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[268802]","[0.599408]","[1.18029]","[319600]","[25835.7]","[0]","[1.28077]","[0.392768]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[109.919,207.466,78.3904]",9321.36,"[6496.03,7081.09,5024.23]","[]","[14420.4]","[]"
135929,284500,2717505,364126,1,1.76415,2.94274e+06,0.619412,0.99093,1,1,1,0.996174,1.00306,1,1,0,0,1,"[1]","[1]","[103218]","[0.854259]","[2.9115]","[143226]","[0.0257492]","[1]","[11]","[1]","[0]","[-196.703]","[0.0187099]","[2.38637]",11200.9,-2.02337,8,"[280837,213019,64180.1,48738.2,47185.8,34840.2,29937.9,27761.5]","[0.421357,0.338418,0.869286,0.914334,0.23638,-1.09885,-0.000493818,0.209021]","[0.339708,-2.75558,-0.619691,0.0740197,1.1325,-2.37703,-2.35938,2.98457]","[307683,229870,90703.1,71162.3,49149.5,58276.1,30546.2,28952.5]","[0.999842,1,0.992997,0.96,0.990702,0.999419,0.989613,0.92361]","[0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0]","[-0.942426,-0.907966,-0.866065,-0.930549,-0.900166,-0.827383,-0.931655,-0.823284]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[328520,314933]","[0.512687,0.588155]","[0.377202,-2.9543]","[389195,400597]","[112273,151134]","[0,0]","[2.27079,1.03776]","[0.565726,0.447188]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[584.507]",4813.79,"[6853.04,3654.66,2360.46,4870.25,4987.1,3384.35,2084.13,2007.84]","[]","[21800.3,16293.8]","[]"
136354,284500,1254846,364126,1,1.76415,2.94274e+06,1.22586,0.99093,1,1,1,0.997724,1.00306,1,1,0,0,1,"[1]","[1]","[112596]","[1.06669]","[-0.739752]","[182964]","[0.0089035]","[1]","[11]","[1]","[0]","[-1072.95]","[-0.100484]","[4.02386]",13507.3,-0.785375,3,"[454639,272010,85653.3]","[1.03339,0.539109,0.0649746]","[2.82543,-0.0309966,-0.657956]","[723635,312543,86308.8]","[0.995184,0.999626,0.991464]","[0,0,0]","[0,0,0]","[-0.857713,-0.820653,-0.922817]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[431546,438223]","[0.695118,1.04668]","[-0.300282,2.83226]","[577599,705224]","[204802,77094.6]","[0,0]","[1.13067,1.42167]","[0.0544061,0.832098]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[912.844]",2911.79,"[8571.72,4648.87,4676.57]","[]","[54472.5,20625.8]","[]"
140107,284500,2708252,364126,1.29031,1.76415,2.94274e+06,0.596562,0.922336,1,1,1,0.995559,1.00441,1,1,0,0,2,"[1,1]","[1,1]","[78660.2,28874.9]","[1.72814,0.666191]","[-1.13464,-2.76577]","[228420,35522.9]","[0.0662537,-0.0489807]","[1,-1]","[11,11]","[1,1]","[6018,0]","[1484.43,-389.22]","[-0.0621275,0.0161036]","[3.11918,0.919664]",56236.6,0.778168,5,"[301397,132161,94652.5,33607.8,23691.9]","[0.569653,-1.76607,-0.169474,0.123472,-2.24565]","[1.86377,-1.73727,-0.887788,2.20958,-1.38022]","[352249,397882,97704.1,34521.4,113251]","[1,0.99,1,0.99,0.995688]","[0,0,0,0,0]","[0,0,0,0,0]","[-0.777908,-0.92415,0.0874051,-0.734534,-0.704961]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[286904]","[0.541721]","[1.85954]","[330218]","[10804.4]","[0]","[1.37001]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[748.206,120.019]",4570.43,"[6458.11,7893.63,5345.58,9787.32,1932.16]","[]","[7298.03]","[]"
140789,284500,2693049,364126,1,1.76415,2.94274e+06,1.08735,0.97994,1,1,1,1.05483,1.00632,1,1,0,0,1,"[1]","[1]","[175672]","[0.559064]","[-2.93168]","[203848]","[-0.0366135]","[-1]","[11]","[1]","[1496.05]","[3127.26]","[-0.0121085]","[1.18317]",76354.5,0.445231,5,"[287863,190445,63055.7,38788.9,30910]","[-0.198179,-0.949073,1.54042,-1.51982,1.46469]","[0.366528,-2.56651,0.409564,-2.91286,-2.8067]","[294543,283674,154224,93144.2,70560.7]","[0.997835,0.998883,1,0.99,0.997405]","[5,0,0,0,0]","[0,0,0,0,0]","[-0.910811,-0.894698,-0.910979,-0.723191,0.0252839]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[282792]","[-0.217283]","[0.369417]","[290474]","[23835.5]","[0]","[2.42245]","[0.61347]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1348.5]",10694.6,"[8216.54,11687.3,3610.01,2824.93,3890.54]","[]","[1918.5]","[]"
141847,284500,716236,364126,1,1.76415,2.94274e+06,1.26205,0.96257,1,1,1,0.959874,1.00557,1,1,0,0,1,"[1]","[1]","[41160.9]","[-1.71555]","[1.05336]","[118124]","[-0.05193]","[1]","[11]","[1]","[0]","[-350.191]","[0.00158638]","[0.125113]",44946.8,2.63836,4,"[229637,176072,131444,54664.3]","[1.19699,-0.451377,-1.09054,-0.0652496]","[2.53012,-0.431794,-0.699873,-2.54096]","[415612,195326,218304,55328.2]","[0.992973,0.999968,0.9946,1]","[0,4,0,0]","[0,0,0,0]","[-0.822175,-0.718686,-0.84915,-0.465066]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[284404]","[-0.739798]","[-0.533047]","[379503]","[100891]","[0]","[0.866328]","[0.727361]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[328.911]",3883.3,"[4200.99,6449.09,5041.52,2603.72]","[]","[3041.84]","[]"
143208,284500,1623564,364126,1,1.76415,2.94274e+06,0.75088,0.971307,1,1,1,0.998183,1.00582,1,1,0,0,2,"[1,1]","[1,1]","[340168,109932]","[-0.394844,-0.799046]","[-2.46896,-2.67208]","[367030,146934]","[0.0205994,-0.0197906]","[1,-1]","[11,11]","[1,1]","[0,0]","[813.804,-392.902]","[-0.00296548,0.0106643]","[0.336329,1.46888]",30270.3,-1.81333,2,"[454053,36926.1]","[-0.693678,-0.191299]","[0.596906,1.39497]","[568310,38275.2]","[0.987958,0.993638]","[0,0]","[0,0]","[-0.525522,-0.91255]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[459723,451474]","[-0.555123,-0.732605]","[-2.52495,0.595701]","[541216,578329]","[97312.7,14560.5]","[0,0]","[0.00774277,6.66504]","[-1,0.536159]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2054.3,629.753]",2747.07,"[8593.5,3386.34]","[]","[3388.56,6387.25]","[]"
148217,284500,322900,364126,1,1.76415,2.94274e+06,0.696077,0.957882,1,1,1,0.995644,1.00632,1,1,0,0,2,"[1,1]","[1,1]","[556140,60230.6]","[0.0951003,0.590337]","[0.742482,0.684648]","[558657,71034.1]","[-0.0166283,-0.00371552]","[1,-1]","[11,11]","[1,1]","[0,0]","[3329.69,325.907]","[-0.0195216,-0.0106701]","[1.3854,1.1706]",14986.7,2.65392,2,"[602023,20118.5]","[-0.211521,0.265566]","[-2.39782,-2.20232]","[618122,21261.3]","[0.999173,0.816789]","[0,0]","[0,0]","[-0.573832,-0.903787]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[637832,617761]","[0.181169,-0.180608]","[0.73637,-2.3962]","[655026,631039]","[93435.3,63223.4]","[0,0]","[0.248567,1.70528]","[0.535203,0.819682]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[5515.27,189.683]",6555.28,"[8881.08,1232.76]","[]","[18795,30158.1]","[]"
