event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
185,284500,1559620,364109,1,4.65737,1.70502e+06,1.32095,1,0.994834,1,1,0.998464,0.972908,1,0,1,0,2,"[1,1]","[1,0]","[195168,72980.1]","[-0.578905,-1.02417]","[2.81712,-2.91705]","[228795,114720]","[-0.00317383,0.0408325]","[1,-1]","[13,13]","[1,0]","[0,2243.13]","[6.34192,163.835]","[0.00861464,-0.0092604]","[1.71469,1.06013]",28386.6,1.68797,2,"[250018,75425.1]","[-1.95529,-2.48073]","[-0.0287454,-1.31496]","[901150,454012]","[0.9906,0.99]","[0,0]","[0,0]","[-0.660252,-0.701438]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[14012,284.774]",3733.99,"[6571.11,5935.57]","[]","[]","[]"
468,284500,1609099,364109,1.15991,4.65737,1.70502e+06,0.619412,1,0.985655,1,1,0.996489,0.962355,1,0,1,0,2,"[1,1]","[1,1]","[100403,58633.5]","[-1.58622,-1.90756]","[-2.04662,2.1563]","[255524,201848]","[0.0203171,0.134705]","[1,-1]","[13,13]","[1,1]","[0,0]","[-401.025,-383.425]","[-0.0279186,0.00205092]","[3.14783,0.201347]",57926.3,-0.165734,5,"[74873.6,58761.3,47684.9,29842,29057.4]","[-1.08007,-2.30583,-1.48357,-0.627327,0.168809]","[1.61146,1.08713,0.919835,-2.47159,3.06689]","[123110,297916,110636,36391.7,30200]","[0.996159,0.991825,0.99532,0.619591,0.963863]","[0,0,0,0,0]","[0,0,0,0,0]","[-0.875063,0.124839,-0.912728,-0.637933,-0.87753]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[601.441,346.925]",4093.95,"[2187.41,3575.65,2468.2,3719.27,9036.49]","[]","[]","[]"
717,284500,1616184,364109,1,4.65737,1.70502e+06,1.25133,1,0.987471,1,1,0.997334,0.819063,1,0,1,0,2,"[1,1]","[1,1]","[59327.3,55718.2]","[0.41208,0.223197]","[-2.99898,1.50065]","[64436.2,57111.9]","[-0.0207329,-0.0146561]","[1,-1]","[13,13]","[1,1]","[0,0]","[1506.52,210.618]","[0.0133575,0.0127157]","[2.54609,1.76008]",8104.33,-3.00871,3,"[177518,87362.4,22644.5]","[-0.579783,0.157181,-0.64809]","[-0.90011,2.2787,1.4812]","[208739,89910.1,28009.5]","[0.996334,0.991748,0.995193]","[0,0,0]","[0,0,0]","[-0.882303,-0.771297,-0.873381]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[231.523,318.669]",32400,"[7932.91,5295.04,1687.81]","[]","[]","[]"
1022,284500,833280,364109,1,4.65737,1.70502e+06,1.08735,1,0.986032,1,1,0.996642,0.89692,1,0,1,0,2,"[1,1]","[1,1]","[52279.2,50327.1]","[-0.158945,-0.563117]","[-1.87626,0.343824]","[52941.1,58519.6]","[0.0325317,-0.0308456]","[-1,1]","[13,13]","[1,1]","[1205.9,1598.07]","[253.122,-260.286]","[0.0132512,0.003908]","[1.99151,0.527382]",36629.1,-2.62784,5,"[71343,67329.2,38003.8,32585,21808]","[-0.540953,0.42207,1.24683,0.303733,-0.316181]","[1.19451,-1.82471,2.23307,1.96483,-0.0864252]","[82274.1,74148.5,71965.6,34648.4,23261.7]","[0.976933,0.992267,0.998488,0.997131,0.997258]","[0,0,0,0,0]","[0,0,0,0,0]","[-0.956601,-0.685558,-0.793149,-0.929965,-0.308888]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[755.29,101.073]",1764.9,"[5279.68,4564.77,3267.09,2359.44,4241.15]","[]","[]","[]"
2094,284500,1565941,364109,1,4.65737,1.70502e+06,0.75088,1,0.990663,1,1,0.999714,0.979059,1,0,1,0,2,"[1,1]","[1,1]","[254775,24927.5]","[-0.585041,-0.692848]","[-2.73829,2.39048]","[299634,31154]","[0.0877533,-0.029808]","[-1,1]","[13,13]","[1,1]","[0,0]","[-941.762,-159.557]","[0.00311124,0.00221037]","[0.694139,0.267056]",28898.6,-2.79491,1,"[287011]","[0.0142947]","[0.31411]","[290601]","[0.997896]","[0]","[0]","[-0.975835]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[9118.18,120.513]",6357.15,"[7217.21]","[]","[]","[]"
3155,284500,482809,364109,1,4.65737,1.70502e+06,0.934886,1,0.992547,1,1,0.998283,0.759899,1,0,1,0,2,"[1,1]","[1,0]","[52143.9,30825.4]","[-0.14004,-1.1765]","[-3.10098,0.597741]","[52656.2,54736.3]","[0.011795,-0.0453186]","[1,-1]","[13,13]","[1,1]","[1115.22,0]","[-163.545,-361.824]","[-0.0176715,0.0146097]","[1.80661,1.61776]",23974.7,1.90291,2,"[152346,102211]","[-1.37671,-0.362118]","[-0.54172,2.83559]","[321283,109529]","[0.996003,0.999598]","[0,0]","[0,0]","[-0.941406,-0.638119]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[226.518,99.463]",2663.76,"[2760.88,5099.52]","[]","[]","[]"
3306,284500,964740,364109,1,4.65737,1.70502e+06,0.75088,1,0.985423,1,1,0.996828,0.744681,1,0,1,0,2,"[1,1]","[1,1]","[343476,63749.3]","[-0.39579,0.114707]","[-2.45996,-2.77442]","[370732,64169.2]","[-0.0245209,0.0320206]","[-1,1]","[13,13]","[1,1]","[0,0]","[377.112,-1167.35]","[0.0021941,0.00399928]","[0.434398,0.639322]",9139.49,-0.7802,3,"[373398,24640.5,24029.2]","[-1.26603,0.82215,2.15783]","[0.557953,1.65101,1.24498]","[715292,34014.8,105423]","[0.99775,0.972091,1]","[0,0,0]","[0,0,0]","[-0.91322,-0.815851,-0.405869]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[41582.4,396.695]",3038.34,"[9432.41,5151.93,2803.32]","[]","[]","[]"
3905,284500,1606537,364109,1,4.65737,1.70502e+06,1.26205,1,0.981144,1,1,0.995825,1.00659,1,0,1,0,2,"[1,1]","[1,0]","[88036,20660.9]","[1.21688,-0.622683]","[3.13708,-2.61105]","[161668,24797.7]","[-0.00924873,0.01828]","[1,-1]","[13,13]","[1,1]","[0,0]","[-458.755,-187.599]","[0.00849782,0.0192839]","[1.46272,2.00185]",43522.2,2.6063,7,"[99644.9,98781.2,91542.2,58866.8,50811,34833.6,29624.2]","[-0.838448,-0.28861,-0.465507,0.742344,-0.234065,0.426982,0.221295]","[1.51086,-0.176435,-0.638449,1.98364,-1.07516,-2.70753,2.96259]","[137327,103897,102125,76088,52622,38606.1,30738.4]","[1,0.994712,0.999268,0.99,0.989547,0.991171,0.993517]","[0,0,0,0,0,0,0]","[0,0,0,0,0,0,0]","[-0.889251,-0.949941,-0.790947,-0.90296,-0.942209,-0.91708,-0.923636]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[719.13,143.58]",11622.4,"[6618.98,1935.33,1946.76,2881.52,2365.1,2549.73,4266.96]","[]","[]","[]"
4792,284500,481247,364109,1,4.65737,1.70502e+06,0.75088,1,0.987914,1,1,0.997618,0.991067,1,0,1,0,2,"[1,1]","[1,1]","[48953.4,27397]","[-0.254372,-2.14647]","[1.492,-0.17914]","[50545.8,118787]","[0.0581932,0.0593214]","[-1,1]","[13,13]","[1,1]","[0,0]","[243.638,-781.745]","[-0.00149035,-6.02563e-05]","[0.22136,0.00465789]",22130.4,0.393089,2,"[96955.5,27679.1]","[-1.40485,2.01958]","[0.247213,-1.08733]","[209721,106164]","[0.998442,0.999823]","[0,0]","[0,0]","[-0.933134,-0.690395]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[341.884,484.246]",17249.9,"[5426.6,2463.76]","[]","[]","[]"
4884,284500,482413,364109,-1,4.65737,1.70502e+06,0.596562,1,0.981834,1,1,0.998519,0.907678,1,0,1,0,2,"[1,1]","[1,1]","[209168,34024.8]","[-0.38951,0.216925]","[1.34756,0.886944]","[225237,34828.6]","[0.038044,0.046978]","[1,-1]","[13,13]","[1,1]","[0,0]","[-450.91,483.993]","[-0.00621171,0.0102892]","[1.14211,1.30163]",47082.2,-1.79203,2,"[165821,53733.1]","[-0.862316,-0.834659]","[-1.58578,3.06049]","[232604,73788.5]","[1,0.999068]","[0,0]","[0,0]","[-0.923692,-0.670648]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[15333.7,154.654]",957.441,"[4482.64,4783.94]","[]","[]","[]"
5421,284500,1539896,364109,1.15351,4.65737,1.70502e+06,0.75088,1,0.995227,1,1,0.997554,1.02224,1,0,1,0,2,"[1,1]","[1,1]","[244089,78316.5]","[1.59025,0.996427]","[2.93808,-3.11619]","[623509,120521]","[-0.0339165,-0.0580559]","[-1,1]","[13,13]","[1,1]","[0,0]","[-213.87,-221.042]","[0.0237535,0.0254153]","[4.31982,3.94421]",22222.3,-1.79477,4,"[241513,72344.9,33653.6,22225.5]","[0.543434,1.8074,0.968958,-0.893357]","[-0.373967,0.795205,-0.28308,1.1424]","[280165,226508,51071.1,31836.9]","[1,0.992598,0.703912,0.977913]","[0,0,0,0]","[0,0,0,0]","[-0.728226,-0.878656,-0.75476,-0.83514]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[5006.94,261.566]",2854.97,"[3047.35,2973.48,5054.01,2413.15]","[]","[]","[]"
5869,284500,1612031,364109,1,4.65737,1.70502e+06,0.923924,1,0.991788,1,1,0.997992,1.0177,1,0,1,0,2,"[1,1]","[1,1]","[342264,38248.1]","[1.52946,1.80059]","[-1.57173,-2.46472]","[826970,118922]","[0.00238419,0.104725]","[-1,1]","[13,13]","[1,1]","[2037.44,0]","[333.106,2124.75]","[-0.00695961,-0.016733]","[1.30796,1.66989]",103506,1.54862,2,"[232947,33340.6]","[1.11973,1.69286]","[1.47086,1.37854]","[395821,93899.6]","[0.995093,0.785857]","[0,0]","[0,0]","[-0.385368,0.810754]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[62843.8,267.075]",9445.52,"[3115.81,8780.03]","[]","[]","[]"
5903,284500,1611987,364109,1,4.65737,1.70502e+06,0.696077,1,0.985299,1,1,0.99538,0.981223,1,0,1,0,2,"[1,1]","[1,1]","[192881,48472.8]","[1.63725,1.42624]","[-0.825614,-1.75769]","[514562,106718]","[0.0264511,0.0180321]","[-1,1]","[13,13]","[1,1]","[0,0]","[-381.283,-794.622]","[-0.00570328,-0.00450352]","[1.14672,0.56639]",24575.6,2.736,4,"[252467,54945.1,33807.7,24748.4]","[0.324456,2.05046,-2.29363,1.24308]","[1.97966,-1.10221,1.66673,-2.25125]","[267361,217119,169348,46758.6]","[0.997976,0.994827,0.992822,0.876631]","[0,0,0,0]","[0,0,0,0]","[-0.921134,-0.785441,-0.854998,-0.896065]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[9370.3,441.711]",7764.98,"[15579,2520.86,3451.31,1985.57]","[]","[]","[]"
6052,284500,1616979,364109,1,4.65737,1.70502e+06,0.923924,1,0.991681,1,1,0.997641,0.995129,1,0,1,0,2,"[1,1]","[1,0]","[39128,14287.9]","[1.96352,-0.709202]","[-2.79294,1.88034]","[142127,18034.5]","[0.0541306,0.00926971]","[1,-1]","[13,13]","[1,1]","[0,0]","[2188.08,-1007.56]","[0.00457106,0.0244368]","[0.461171,2.34161]",66833.9,0.985294,4,"[129051,41219,35419.9,27941.7]","[1.5448,-0.595412,-0.250123,0.136815]","[-1.79299,0.885028,0.657165,1.14954]","[316355,49163.3,36783.9,28707.5]","[0.999981,0.999747,0.997655,1]","[0,0,0,0]","[0,0,0,0]","[-0.95431,-0.878334,-0.929312,-0.704223]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[263.925,19.8278]",12447.2,"[6114.82,2067.1,3086.75,3692.35]","[]","[]","[]"
6354,284500,833762,364109,1,4.65737,1.70502e+06,0.934886,1,0.980071,1,1,0.997901,0.999379,1,0,1,0,2,"[1,1]","[1,1]","[122493,49727]","[-1.90676,-1.78084]","[-1.35805,-2.56891]","[421362,151751]","[-0.110425,-0.0151014]","[-1,1]","[13,13]","[1,1]","[0,0]","[1171.99,881.278]","[-0.000516383,-0.0149282]","[0.0794826,1.98742]",24144.4,-1.80087,3,"[171110,45835.4,43740.5]","[-1.27347,1.76058,1.1955]","[0.286709,1.7012,2.61174]","[329986,137482,79004.7]","[0.994538,0.963664,0.945619]","[0,0,0]","[0,0,0]","[-0.862299,-0.867874,-0.900926]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3180.56,133.993]",1764.21,"[5072.2,8368.55,2570.98]","[]","[]","[]"
7150,284500,1539755,364109,1,4.65737,1.70502e+06,0.923924,1,0.992473,1,1,0.997979,0.878788,1,0,1,0,2,"[1,1]","[1,0]","[277652,10340]","[-0.492869,0.447016]","[-1.68122,3.13972]","[312064,11390.9]","[0.0220666,-0.111681]","[-1,1]","[13,13]","[1,1]","[0,0]","[-137,1391.03]","[-0.0248309,0.00221855]","[6.24053,0.129677]",42254.5,-2.33074,2,"[284220,34056.8]","[-0.389332,-2.36162]","[1.36194,1.57386]","[309283,182331]","[0.996837,0.990009]","[0,0]","[0,0]","[-0.815139,-0.746691]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[50468,20.6724]",4127.9,"[4968.81,2218.51]","[]","[]","[]"
7157,284500,1541704,364109,-1,4.65737,1.70502e+06,1.25133,1,0.990397,1,1,0.99668,0.944176,1,0,1,0,2,"[1,1]","[1,1]","[46242.4,45939.2]","[0.346185,0.225211]","[-2.93829,-0.223322]","[49041.3,47109.3]","[0.0601902,-0.0880814]","[-1,1]","[13,13]","[1,1]","[0,0]","[-735.804,-735.804]","[0.00777979,-0.00546114]","[0.886719,0.752707]",28279,0.487067,3,"[170528,150479,22269.3]","[1.85879,-0.72271,0.0690355]","[-2.87204,0.279665,2.54866]","[560463,192393,22604]","[0.995098,1,0.991591]","[0,0,0]","[0,0,0]","[-0.876785,-0.878899,-0.340012]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[140.058,123.745]",19621.2,"[6130.33,4876.85,8917.25]","[]","[]","[]"
7725,284500,1613889,364109,1.35563,4.65737,1.70502e+06,1.32095,1,0.982967,1,1,0.99509,0.940094,1,0,1,0,2,"[1,1]","[1,1]","[61353.5,59954.5]","[0.319638,1.6455]","[-0.511307,0.0793448]","[64514.6,161173]","[0.0597076,0.0613933]","[-1,1]","[13,13]","[1,1]","[0,0]","[-139.263,-70.9995]","[0.021528,0.0399322]","[3.3453,5.48344]",4978.81,2.84096,5,"[190022,66537.5,63968.3,28220,25255.6]","[0.30312,-0.0730331,-2.25803,1.37281,-0.472467]","[-2.8117,1.19045,0.344944,-2.32846,1.32201]","[199076,67374.7,309292,59416.3,28167.3]","[1,0.999912,0.993028,0.757508,0.988314]","[0,0,0,0,0]","[0,0,0,0,0]","[-0.928135,-0.914628,-0.881413,-0.816559,-0.861566]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[204.381,490.479]",2613.71,"[2188.7,1770.42,2704.5,1852.65,3357.98]","[]","[]","[]"
8360,284500,480909,364109,1,4.65737,1.70502e+06,1.26205,1,0.99091,1,1,0.996382,0.99077,1,0,1,0,2,"[1,1]","[1,1]","[48789.8,35161.1]","[1.40224,1.93472]","[2.26027,-0.161622]","[105150,124235]","[0.0261765,0.0256882]","[1,-1]","[13,13]","[1,1]","[0,0]","[1467.88,-223.82]","[0.00413307,-0.0112366]","[0.606107,1.08447]",14300.8,-1.22538,3,"[115171,108889,20255.3]","[-1.71388,0.818488,-2.24114]","[-0.243588,2.97938,-2.60373]","[330348,147848,96382.3]","[0.993929,0.994657,1]","[0,0,0]","[0,0,0]","[-0.952449,-0.872487,-0.919736]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[85.441,250.826]",3401.54,"[5622.82,3183.72,1124.66]","[]","[]","[]"
8538,284500,908024,364109,1,4.65737,1.70502e+06,1.08735,1,0.999218,1,1,0.99969,0.995521,1,0,1,0,2,"[1,1]","[1,1]","[307113,32245.6]","[1.42738,2.00111]","[-1.37389,-0.629618]","[676832,121444]","[0.0371342,0.0593133]","[-1,1]","[13,13]","[1,1]","[0,0]","[-301.764,-157.888]","[-0.0127905,-0.00587816]","[2.88471,0.553171]",22552.1,0.838274,1,"[310661]","[-0.229768]","[1.87596]","[320175]","[0.997287]","[0]","[0]","[-0.813834]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[7945.34,169.346]",1690.85,"[5111.61]","[]","[]","[]"
8777,284500,1291796,364109,1,4.65737,1.70502e+06,1.26205,1,0.997273,1,1,0.997635,0.997967,1,0,1,0,2,"[1,1]","[1,1]","[324762,56673]","[1.21326,1.52689]","[-1.22764,-0.61001]","[594584,136611]","[-0.023304,0.0147057]","[1,-1]","[13,13]","[1,1]","[0,0]","[-258.411,-73.5045]","[-0.0112641,-0.0161272]","[2.74043,1.83865]",16463.4,-0.799638,2,"[364525,23139.3]","[0.0299337,-1.67472]","[2.03684,1.67677]","[365045,64077.2]","[0.7067,0.985909]","[0,0]","[0,0]","[-0.773646,0.199008]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[19798.6,871.764]",19149.6,"[19138.9,1839.64]","[]","[]","[]"
8911,284500,1539797,364109,1,4.65737,1.70502e+06,0.923924,1,0.993276,1,1,0.998634,0.799462,1,0,1,0,2,"[1,1]","[1,0]","[98401.4,72134.3]","[0.629984,1.48679]","[0.528166,0.705861]","[118583,167676]","[-0.0605698,0.0110893]","[-1,1]","[13,13]","[1,1]","[0,0]","[-864.421,-90.6221]","[-0.00786988,-0.0264926]","[1.61876,3.86927]",36664.1,0.740093,2,"[193075,75927.2]","[2.28414,0.238448]","[-2.73642,-0.39202]","[957956,78815.2]","[0.995184,0.991783]","[0,0]","[0,0]","[-0.907073,-0.920419]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[263.934,1632.29]",9069.85,"[5618.34,4871.39]","[]","[]","[]"
9213,284500,1606533,364109,1,4.65737,1.70502e+06,1.74563,1,0.996289,1,1,0.997778,0.989061,1,0,1,0,2,"[1,1]","[0,1]","[52036,36726.2]","[0.72103,2.28837]","[-1.6924,-0.382749]","[66158.7,182902]","[-0.00379515,0.0435262]","[1,-1]","[13,13]","[1,1]","[0,0]","[-336.806,-179.068]","[0.000488359,0.0279535]","[0.0853494,2.51955]",15003.5,1.07046,2,"[149177,102562]","[0.50911,1.0303]","[1.41263,-2.29668]","[169385,162301]","[0.99,0.997432]","[0,0]","[0,0]","[-0.952863,-0.824192]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[119.177,723.043]",16563.2,"[7605.73,9302.02]","[]","[]","[]"
9233,284500,1607891,364109,1,4.65737,1.70502e+06,0,1,0.993942,1,1,0.997938,1.02398,1,0,1,0,2,"[1,1]","[1,1]","[232602,113865]","[-0.801891,-0.252184]","[0.874826,0.886781]","[311482,117505]","[-0.0369666,-0.00281039]","[-1,1]","[13,13]","[1,1]","[0,0]","[-1135.12,-715.822]","[0.00676963,0.0049561]","[1.26025,1.01849]",6377.94,1.28862,2,"[326098,24551.4]","[-0.804515,-1.42712]","[-2.28956,-1.67373]","[438092,54395.5]","[0.991334,0.839352]","[0,0]","[0,0]","[-0.187298,-0.808947]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[7151.41,5353.67]",469.685,"[11667.6,2410.37]","[]","[]","[]"
9344,284500,1608788,364109,1,4.65737,1.70502e+06,0.619412,1,0.997289,1,1,0.997731,0.836859,1,0,1,0,2,"[1,1]","[1,1]","[165165,152300]","[-0.749318,-1.27793]","[-3.01226,-2.76926]","[213743,294536]","[0.00171661,0.0128937]","[-1,1]","[13,13]","[1,1]","[0,0]","[703.157,-380.454]","[-0.00200746,0.00367405]","[0.438344,0.604703]",20136.9,0.77455,2,"[287478,20291.3]","[-0.924706,-2.34936]","[0.258267,-1.012]","[419720,107382]","[0.990577,0.985962]","[0,0]","[0,0]","[-0.845571,-0.757713]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[4686.09,6290.33]",308.549,"[3652.63,1893.96]","[]","[]","[]"
9417,284500,1613102,364109,1,4.65737,1.70502e+06,1.32095,1,0.994138,1,1,0.996859,0.984315,1,0,1,0,2,"[1,1]","[1,0]","[145301,21036.2]","[0.811626,0.219821]","[2.14611,-2.37159]","[195845,21546.7]","[-0.00102234,-0.0543823]","[-1,1]","[13,13]","[1,1]","[0,5262.48]","[578.478,462.639]","[0.0209332,0.00569495]","[4.63308,0.648583]",2346.78,-0.577282,4,"[138595,66133.6,42485,27209]","[1.74563,-1.0977,2.00128,-1.00448]","[-1.47568,0.474396,0.930257,-1.52442]","[409288,110431,160183,42446.8]","[1,1,0.842082,0.991536]","[0,0,0,0]","[0,0,0,0]","[-0.614586,-0.946234,-0.881703,-0.929888]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1619.83,118.184]",5495.18,"[5085.66,8291.23,3043.28,3327.74]","[]","[]","[]"
9733,284500,1634210,364109,1,4.65737,1.70502e+06,0.75088,1,0.992235,1,1,0.999678,0.986749,1,0,1,0,2,"[1,1]","[1,0]","[226155,52303.1]","[-0.891884,-0.17825]","[1.52782,1.81465]","[322226,53136.3]","[0.00754929,-0.0147057]","[1,-1]","[13,13]","[1,1]","[0,0]","[-311.599,-832.612]","[-0.00546741,-0.00451909]","[1.16312,0.675043]",6419.27,2.57627,1,"[285736]","[-0.816897]","[-1.54203]","[386730]","[0.999706]","[0]","[0]","[-0.76911]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[377.778,327.632]",15232.3,"[7891.97]","[]","[]","[]"
9734,284500,1634298,364109,1.30284,4.65737,1.70502e+06,0.75088,1,0.997315,1,1,0.997214,0.933939,1,0,1,0,2,"[1,1]","[1,1]","[212807,44775.8]","[-0.140809,-0.854137]","[2.03236,2.58698]","[214921,62126.5]","[0.0032196,0.0214434]","[-1,1]","[13,13]","[1,1]","[0,0]","[-463.643,2014.53]","[-0.0184598,-0.0217043]","[3.55905,2.67014]",14709.9,2.56665,3,"[208585,60786.8,55265.7]","[-0.810619,2.40552,2.46533]","[-0.609922,-2.19566,-1.41001]","[281880,339672,327526]","[0.997638,0.990377,0.98255]","[0,0,0]","[0,0,0]","[-0.888029,-0.10052,-0.76112]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[14728.4,108.695]",5106.89,"[9637.64,2411.2,2472.81]","[]","[]","[]"
