event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
27,284500,2718225,410011,4.68686e-08,44.152,0.218165,0.738662,0.970475,1,1,1,1,0.96497,1,1,0,0,2,"[1,0]","[1,0]","[34338.1,9107.9]","[-1.00035,0.272798]","[-1.55924,2.22287]","[53000.5,9448.91]","[0.0489197,-0.0842361]","[1,1]","[11,11]","[1,0]","[0,2072.54]","[192.097,1447.41]","[-0.025131,0.119697]","[0.706883,4.86166]",13051.7,0.406517,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[564.412,46.0913]",16453.7,"[]","[]","[]","[]"
56,284500,2714946,410011,4.68686e-08,44.152,0.218165,0.923924,0.94641,0.998304,1,1,1.15074,1.01211,1,1,0,0,2,"[1,0]","[1,0]","[35656.8,14719.4]","[-2.31485,-2.28963]","[1.30516,-3.12022]","[182246,73395.3]","[0.511536,1.42046]","[1,1]","[11,13]","[1,1]","[0,7808.67]","[1526.18,2992.64]","[-0.0350579,0.103912]","[2.22849,6.20743]",30770,-2.8137,1,"[51010.5]","[-2.48385]","[1.97233]","[307906]","[0.895871]","[0]","[0]","[0.873641]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[200.179,140.636]",19006.8,"[2977.3]","[]","[]","[]"
83,284500,2784422,410011,4.68686e-08,44.152,0.218165,0.738662,0.97921,1.00123,1,1,1.03177,1.00192,1,1,0,0,2,"[1,0]","[1,0]","[73880.9,7198.41]","[-0.240984,1.25671]","[2.42467,0.697982]","[76036.5,13671.7]","[-0.0409164,0.635262]","[1,-1]","[11,13]","[1,1]","[0,1366.42]","[1546.59,561.403]","[0.0103889,-0.124946]","[0.833289,5.80133]",70995.8,0.839996,1,"[77093.1]","[-0.0641535]","[0.412743]","[78598.5]","[0.999526]","[5]","[1]","[0.988649]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[378.619,28.9644]",3869.11,"[1229.79]","[]","[]","[]"
87,284500,2787046,410011,4.68686e-08,44.152,0.218165,1.21412,1.09758,0.998476,1,1,0.92078,0.820608,1,0,1,0,2,"[1,0]","[1,0]","[87213.6,7952.4]","[0.95365,1.64346]","[0.96741,-2.32915]","[129970,21337.6]","[0.02668,-0.0626907]","[1,1]","[13,11]","[1,1]","[0,0]","[-846.296,-51.436]","[0.016067,-0.0404643]","[3.01465,1.21155]",91164.7,-0.492307,2,"[197854,56684.5]","[-2.2158,1.87192]","[3.05886,-0.816461]","[917940,188799]","[0.995353,1]","[0,5]","[0,1]","[-0.863052,-0.274765]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1177.55,200.457]",1629.58,"[7981.93,5690.2]","[]","[]","[]"
110,284500,2684002,410011,4.68686e-08,44.152,0.218165,1.08735,0.97738,0.985404,1,1,1.03559,1.00056,1,1,0,0,2,"[1,0]","[1,0]","[73591.9,13606.1]","[0.22148,1.28997]","[1.13118,2.64659]","[75404.2,26586.3]","[-0.0379105,0.026268]","[1,-1]","[11,13]","[1,1]","[0,1521.11]","[-560.453,-153.015]","[-0.00747219,-0.00721763]","[1.04948,0.586549]",53656.4,-1.01161,1,"[61662.1]","[0.84676]","[3.00471]","[85858.2]","[0.997997]","[5]","[1]","[0.997644]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[704.176,40.7207]",781.562,"[2474.93]","[]","[]","[]"
115,284500,2736253,410011,4.68686e-08,44.152,0.218165,0.923924,0.90266,0.995255,1,1,1,0.986183,1,0,1,0,2,"[1,0]","[1,0]","[33114.1,15278.1]","[0.587843,-0.946843]","[-1.05127,-3.06708]","[39002.4,22653.8]","[-0.00671721,-0.414989]","[1,1]","[13,11]","[1,1]","[0,0]","[-308.427,2065.65]","[-0.0135062,0.0139636]","[1.2132,1.14857]",16717.8,0.593635,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[118.679,276.224]",12489.7,"[]","[]","[]","[]"
148,284500,2658389,410011,4.68686e-08,44.152,0.218165,1.1961,0.969521,1,1,1,0.906839,1.00441,1,1,0,0,2,"[1,0]","[1,0]","[60707.4,10932.9]","[1.62588,2.06795]","[2.92368,0.153144]","[160256,43923.1]","[0.030426,-0.0382195]","[1,1]","[11,11]","[1,1]","[0,1781.7]","[2798.75,456.882]","[0.00271538,0.0301446]","[0.220706,1.04554]",41327.3,-1.49979,3,"[84667,50739.5,28321.4]","[2.34205,1.15936,1.12022]","[-1.99133,0.711284,1.20374]","[444516,89443.5,48256.1]","[0.928894,0.973445,0.98593]","[0,5,0]","[0,1,0]","[-0.354881,-0.500678,-0.888331]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[547.469,83.9723]",596.223,"[3050.79,2197.22,4251.35]","[]","[]","[]"
160,284500,2736117,410011,4.68686e-08,44.152,0.218165,0.75088,0.96689,0.985404,1,1,0.997864,1,1,1,0,0,2,"[1,0]","[1,0]","[54960.3,13894.2]","[1.72878,1.25876]","[-1.08167,1.79431]","[159694,26434.4]","[-47.6897,-47.7424]","[1,-1]","[11,13]","[0,1]","[0,0]","[-880.332,3613.56]","[-0.288048,0.110743]","[2.95652,7.95441]",28710.4,1.98653,2,"[24250.7,20368.8]","[-1.8523,-0.904809]","[-0.39072,-1.99684]","[79339.1,29677.1]","[0.949906,0.97769]","[0,0]","[0,0]","[-0.768407,-0.834292]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[251.455,29.4626]",13546.9,"[3673.08,1211.57]","[]","[]","[]"
161,284500,2737177,410011,4.68686e-08,44.152,0.218165,1.21412,0.99963,0.995968,1,1,0.9345,0.97072,1,0,1,0,2,"[1,0]","[1,0]","[40643.2,13515.6]","[0.44446,-2.08628]","[3.04129,-0.148442]","[44724.3,55272.6]","[-0.0516148,-0.00708199]","[1,1]","[13,11]","[1,1]","[0,3431.77]","[-384.026,426.973]","[-0.00162021,-0.00424576]","[0.226444,0.167434]",76347,-0.588254,1,"[39387.3]","[-1.92579]","[2.36131]","[138214]","[0.94029]","[5]","[1]","[-0.579055]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[141.512,170.364]",2764.18,"[3070.07]","[]","[]","[]"
220,284500,4246051,410011,4.68686e-08,44.152,0.218165,0.923924,0.96484,0.998091,1,1,1.02995,0.96343,1,1,0,0,2,"[1,0]","[1,0]","[39206.6,7577.32]","[1.02023,0.863635]","[0.0942203,-0.562997]","[61443.8,10583.7]","[-0.00803804,0.932522]","[1,-1]","[11,13]","[1,1]","[0,1401.74]","[375.551,-338.389]","[0.00656667,-0.134635]","[0.822061,6.87374]",41505.1,-2.04411,3,"[36452.7,30554.6,30552.3]","[0.191599,1.49253,0.209761]","[2.26811,-2.63966,0.879327]","[37491,71570.2,31690.8]","[0.987065,1,0.661308]","[0,5,0]","[0,1,0]","[-0.928667,0.987125,-0.929732]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[146.76,20.0417]",27.1953,"[5800.74,1893.63,2292.66]","[]","[]","[]"
287,284500,2751703,410011,4.68686e-08,44.152,0.218165,1.55465,1,0.994167,1,1,0.999536,0.917248,1,0,1,0,2,"[1,0]","[1,0]","[60437.1,10899.7]","[2.43585,0.261861]","[0.841802,2.09359]","[347908,11276]","[-0.107724,0.0748615]","[1,1]","[13,13]","[1,1]","[0,1236.16]","[-223.799,-283.122]","[-0.00642157,-0.00969997]","[0.650252,0.845562]",44233.7,3.11638,1,"[21324.5]","[0.673597]","[2.53683]","[26551]","[0.981797]","[0]","[0]","[-0.845786]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1154.95,13.138]",8303.2,"[6307]","[]","[]","[]"
290,284500,2739461,410011,4.68686e-08,44.152,0.218165,1.1961,0.98458,0.995931,1,1,1.18207,1.00582,1,1,0,0,2,"[1,0]","[1,0]","[99208.5,13023.2]","[-0.586399,0.704701]","[-1.8936,0.896996]","[116760,16393.2]","[0.0265656,0.279877]","[1,-1]","[11,13]","[1,1]","[2457.92,1586.42]","[1896.93,3212.72]","[-0.00532414,0.0071085]","[0.563185,0.446071]",88124.9,2.95417,2,"[54979.2,27596.7]","[-0.239335,2.45135]","[0.513845,0.996897]","[57496.6,161418]","[0.999324,0.988403]","[4,0]","[0,0]","[0.941567,-0.779774]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[336.618,19.2944]",10807.1,"[6283.88,1963.95]","[]","[]","[]"
376,284500,3598338,410011,4.68686e-08,44.152,0.218165,0.696077,0.95061,1.00808,1,1,1.03536,0.96294,1,1,0,0,2,"[0,1]","[0,1]","[84165.4,34937.2]","[-0.07107,-0.736518]","[1.34269,-2.83765]","[84378.1,44849.3]","[-116.615,-0.0211334]","[1,1]","[13,11]","[0,1]","[0,0]","[2731.04,219.404]","[2.0678,0.0118861]","[100.066,1.10257]",71330.2,-1.24485,2,"[58755.2,39285.4]","[-1.39398,-2.36575]","[1.95622,-1.37112]","[126001,211168]","[0.98678,0.98934]","[5,0]","[1,0]","[0.983154,-0.48879]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1758.07,40.0003]",7708.05,"[5509.16,3546.86]","[]","[]","[]"
404,284500,2674796,410011,4.68686e-08,44.152,0.218165,0.696077,1,0.980908,1,1,0.934506,1.02324,1,0,1,0,2,"[1,0]","[1,0]","[42839.5,11670.6]","[1.79469,0.951108]","[1.21551,2.56058]","[132455,17359.8]","[0.061451,-0.0343266]","[1,1]","[13,13]","[1,1]","[0,5764.75]","[-347.22,1816.03]","[-0.0202965,0.0263931]","[2.14344,1.79557]",21601.7,-2.27392,2,"[52125.1,22303.9]","[2.04995,0.682534]","[-0.675917,2.93214]","[205907,28268.4]","[0.999008,0.884311]","[5,4]","[1,0]","[0.810619,-0.771634]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[97.7808,13.6765]",277.766,"[1414.85,1354.44]","[]","[]","[]"
420,284500,4997747,410011,4.68686e-08,44.152,0.218165,0.619412,1,1.01198,1,1,1.0382,1.01614,1,0,1,0,2,"[0,1]","[0,1]","[40514.6,40303.9]","[0.00895031,1.1532]","[-0.456313,2.49053]","[40516.3,70208.1]","[169.003,0.00978088]","[-1,1]","[13,13]","[0,1]","[0,1163.98]","[-1894.24,2129.03]","[6.23924,-0.016597]","[105.997,2.081]",66163.8,-2.32155,1,"[46278.6]","[1.43646]","[0.975439]","[103101]","[0.995786]","[5]","[1]","[0.99581]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[135.686,123.588]",5158.3,"[4458.85]","[]","[]","[]"
423,284500,4993627,410011,-4.68686e-08,44.152,0.218165,0,1,0.986018,1,1,1,0.850749,1,0,1,0,2,"[1,0]","[1,0]","[27362.9,7392.9]","[0.288585,-1.75425]","[-2.22001,0.625305]","[28510.4,22002]","[-0.125078,-114.448]","[1,1]","[13,13]","[1,1]","[0,0]","[1192.14,-185.817]","[0.00919721,-0.109612]","[1.06247,4.11692]",22842.7,1.04395,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[228.355,19.5563]",0,"[]","[]","[]","[]"
433,284500,2671160,410011,4.68686e-08,44.152,0.218165,1.32095,0.925773,1,1,1,1.03832,0.96574,1,1,0,0,2,"[1,0]","[1,0]","[50812.8,9755.55]","[1.09509,-2.4557]","[-1.98214,1.03112]","[84449.9,57266.7]","[-0.0705309,4.66264]","[1,-1]","[11,11]","[1,0]","[0,0]","[1461.16,95.0172]","[0.00736757,-0.205851]","[0.219656,7.18148]",56669.6,1.96167,1,"[40136.6]","[1.9845]","[-0.248836]","[148824]","[0.992008]","[5]","[1]","[0.989459]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[111.889,378.028]",103.359,"[1226.84]","[]","[]","[]"
438,284500,2681565,410011,4.68686e-08,44.152,0.218165,0.553627,0.96819,1.03153,1,1,1.0765,0.95922,1,1,0,0,2,"[1,0]","[1,0]","[48692.3,17898.1]","[-0.874624,-2.58224]","[1.56144,1.57561]","[68534.2,119044]","[-0.0514193,0.0652399]","[1,-1]","[11,13]","[1,0]","[0,0]","[538.894,-605.049]","[0.0290431,0.000800506]","[3.18289,0.052945]",47197.9,-1.56659,3,"[54104.8,45437.8,33540.8]","[-0.781337,-2.46289,-1.06936]","[-2.01331,-0.914646,-3.0823]","[72712.5,268717,55014.7]","[0.999971,0.999051,0.987663]","[5,5,0]","[1,1,0]","[0.995533,0.993882,-0.902973]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[38.4572,109.812]",5855.52,"[6582.73,1411.55,2456.77]","[]","[]","[]"
439,284500,3622779,410011,4.68686e-08,44.152,0.218165,1.25133,1,0.97138,1,1,0.901772,1.01483,1,0,1,0,2,"[1,0]","[1,0]","[41061.7,9211.71]","[1.89648,1.74017]","[-0.437271,-2.64503]","[139867,27054.1]","[0.0631943,-0.0247002]","[1,1]","[13,13]","[1,1]","[0,4360.55]","[-111.225,1386.72]","[-0.0240674,0.121338]","[2.78322,6.59081]",41913.4,0.906832,1,"[54973.3]","[0.75871]","[-2.61849]","[72121.1]","[1]","[5]","[1]","[-0.0842017]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[86.6389,28.5089]",2204.73,"[1120.82]","[]","[]","[]"
451,284500,3628512,410011,4.68686e-08,44.152,0.218165,1.24168,0.92481,0.999264,1,1,1.03636,0.975742,1,0,1,0,2,"[1,0]","[1,0]","[89149.1,19742.3]","[-2.2634,-0.193191]","[-0.882728,-1.80698]","[433251,20111.9]","[0.0804634,0.104301]","[1,-1]","[13,11]","[0,1]","[0,3068.84]","[-181.505,3413.33]","[-0.00443645,0.0209091]","[0.595694,2.13434]",34516.4,0.257987,3,"[125655,49261.4,33796.7]","[1.28009,-0.365905,-2.02525]","[2.47633,-0.480093,2.23839]","[244004,53446.1,130493]","[0.999928,0.985064,0.980339]","[0,5,0]","[0,1,0]","[-0.937518,0.996369,-0.452569]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3072.45,92.2881]",19602.1,"[5542.64,3148.5,6046.84]","[]","[]","[]"
455,284500,3604877,410011,4.68686e-08,44.152,0.218165,0.553627,1,1.00432,1,1,0.999958,0.987341,1,0,1,0,2,"[1,0]","[1,0]","[32873.8,27573.1]","[1.3172,0.00851804]","[-0.905698,-3.113]","[65761.6,27574.3]","[0.00760269,105.974]","[1,1]","[13,13]","[1,0]","[0,0]","[650.577,-1981.87]","[-0.0232466,-0.539224]","[2.97738,11.3393]",53264,-2.4543,1,"[75048.4]","[1.59841]","[2.2978]","[193405]","[0.975645]","[0]","[0]","[-0.940622]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[150.742,58.0668]",11929.9,"[4895.75]","[]","[]","[]"
472,284500,3607901,410011,4.68686e-08,44.152,0.218165,1.55465,0.92237,0.992748,1,1,1.03666,0.96413,1,1,0,0,2,"[1,0]","[1,0]","[78636.3,7411.09]","[2.39551,-1.8527]","[2.67835,-0.593532]","[435051,24211.6]","[0.0915222,0.209076]","[1,1]","[11,13]","[1,1]","[0,0]","[924.779,-105.642]","[-0.0510616,-0.0068374]","[1.4078,0.261199]",51537.2,1.18807,2,"[47340,28766.3]","[2.27762,-1.36409]","[-0.693234,0.804045]","[233372,60297.6]","[0.998208,0.978106]","[5,0]","[1,0]","[0.98617,-0.881988]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1464.45,31.6481]",6221.01,"[2153.91,5515.69]","[]","[]","[]"
502,284500,4996092,410011,4.68686e-08,44.152,0.218165,0.934886,1.04808,1,1,1,1,1.03188,1,1,0,0,2,"[1,0]","[1,0]","[42357.2,9426.42]","[-2.0606,1.75015]","[-1.26991,1.16712]","[168964,27945.7]","[0.00790787,-0.00955391]","[1,1]","[11,11]","[1,1]","[0,2460.32]","[-119.743,553.573]","[-0.0373262,0.0130884]","[1.28578,0.43544]",44797.4,1.33813,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[87.692,251.254]",2052.8,"[]","[]","[]","[]"
504,284500,3600704,410011,4.68686e-08,44.152,0.218165,1.22586,1,0.995804,1,1,1.0366,1.0008,1,0,1,0,2,"[1,0]","[1,0]","[47931.8,8116.74]","[-1.26151,-0.221271]","[2.532,1.85766]","[91405.5,8316.92]","[-0.0325413,0.162083]","[1,1]","[13,13]","[1,1]","[0,1706.99]","[-711.981,-429.992]","[-0.00876185,0.107712]","[1.10206,6.66287]",39389.6,-3.00701,1,"[57107.5]","[0.166929]","[-0.73869]","[58440.4]","[0.993995]","[5]","[1]","[0.998616]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[322.073,19.1893]",732.207,"[3123.48]","[]","[]","[]"
510,284500,3556241,410011,4.68686e-08,44.152,0.218165,0.351687,0.99963,0.985967,1,1,0.999756,0.979119,1,0,1,0,2,"[1,0]","[1,0]","[113819,12704.1]","[1.91328,2.11698]","[-2.38104,0.135953]","[393976,53524.7]","[0.0447235,-0.0913925]","[1,-1]","[13,11]","[1,0]","[0,6075.54]","[-889.624,4554.32]","[-0.00534306,0.0167403]","[0.563893,0.706935]",37818.1,-0.282922,1,"[33160.6]","[-0.455433]","[2.78585]","[37313.9]","[0.764097]","[0]","[0]","[-0.908894]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[6691.7,90.9633]",3495.66,"[5374.82]","[]","[]","[]"
513,284500,3553130,410011,4.68686e-08,44.152,0.218165,0.696077,1,1.00016,1,1,0.909914,0.970733,1,0,1,0,2,"[1,1]","[1,0]","[32622.8,27995.8]","[-0.172064,-0.0712074]","[-0.447198,0.159613]","[33107,28067]","[0.0793495,51.0339]","[1,1]","[13,13]","[1,0]","[0,0]","[52.5389,1304.47]","[0.0213064,-6.58732]","[1.74381,245.234]",53160.5,-2.90952,3,"[98889,79750,33495.7]","[-1.85138,0.310343,-0.529671]","[-0.744048,2.64825,1.78928]","[323073,83821.6,38912.8]","[0.990735,0.994271,0.995797]","[0,5,0]","[0,1,0]","[-0.820822,-0.289937,-0.793132]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[93.5006,32.4375]",8144.34,"[5827.26,6874.36,9078.27]","[]","[]","[]"
552,284500,2672873,410011,4.68686e-08,44.152,0.218165,1.25133,0.97361,0.995931,1,1,0.998056,0.98448,1,1,0,0,2,"[1,0]","[1,0]","[47276.9,14029.3]","[-0.382837,0.78476]","[-1.793,0.798875]","[50783.9,18575.8]","[0.0636368,-0.0224218]","[1,1]","[11,13]","[1,1]","[0,10781.7]","[-378.112,2082.3]","[0.0279531,-0.054297]","[3.50823,4.38428]",34822.3,1.97203,3,"[58119.4,27525.7,20332.5]","[0.345917,2.25259,0.0358643]","[2.50176,-2.0508,0.418438]","[63222.1,132428,20551]","[1,0.990567,0.981358]","[0,0,0]","[0,0,0]","[-0.577834,-0.72514,-0.843187]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[50.2929,18.5331]",1749.06,"[4091.55,2014.44,1543.25]","[]","[]","[]"
571,284500,3578717,410011,4.68686e-08,44.152,0.218165,0.738662,0.96611,0.995931,1,1,1.00006,0.97191,1,1,0,0,2,"[1,0]","[1,0]","[42262.4,13814.5]","[0.698165,0.345696]","[-1.48009,3.05197]","[52987.8,14648.6]","[-0.00337601,-0.370504]","[1,-1]","[11,13]","[1,1]","[0,0]","[-484.533,-1192.77]","[-0.00605326,-0.0715538]","[0.533848,6.01559]",62383.4,0.927998,2,"[55861.9,54288.6]","[0.823552,0.680531]","[1.16221,-2.31611]","[76631.6,67663.5]","[0.83582,0.997931]","[0,0]","[0,0]","[-0.781124,-0.8177]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[29.9922,31.9137]",2369.09,"[4884.34,3666.86]","[]","[]","[]"
608,284500,4382389,410011,4.68686e-08,44.152,0.218165,1.24168,0.916158,1,1,1,1.00003,0,1,1,0,0,2,"[1,0]","[1,0]","[25566.9,8104.38]","[-0.233767,2.45812]","[3.07884,-3.13703]","[26268.7,47687.8]","[0.0427399,116.478]","[1,-1]","[11,11]","[1,0]","[0,0]","[-99.6941,-507.866]","[0.00945253,0.0487635]","[1.03035,0.217202]",40085.4,1.63359,1,"[53230.3]","[-0.940593]","[-0.770258]","[79635.4]","[0.975666]","[0]","[0]","[-0.680243]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[99.9166,332.605]",707.637,"[2347.78]","[]","[]","[]"
613,284500,3544504,410011,4.68686e-08,44.152,0.218165,1.24168,0.929929,1,1,1,0.90306,0.93264,1,1,0,0,2,"[1,0]","[1,0]","[29467,7999.08]","[-1.2092,0.0725137]","[-0.904585,-2.01013]","[53766,8020.12]","[-0.0525742,34.2866]","[1,1]","[11,11]","[1,1]","[0,1436.59]","[-497.7,-576.054]","[0.00320252,-0.0166937]","[0.256252,0.312837]",45694.2,1.39019,2,"[64921.1,36593.4]","[-0.893166,2.20694]","[-2.95725,0.146422]","[93198.1,168458]","[0.994366,1]","[5,0]","[1,0]","[0.555954,-0.942702]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[77.3114,217.837]",3849.98,"[1407.53,2275.46]","[]","[]","[]"
614,284500,3542946,410011,4.68686e-08,44.152,0.218165,0.553627,0.93214,1,1,1,0.998382,0.84537,1,1,0,0,2,"[1,0]","[1,0]","[28261.2,10099.5]","[-1.80127,-2.62635]","[-2.07024,-0.647555]","[87926.4,70169.1]","[0.0306053,-0.380711]","[1,-1]","[11,13]","[1,0]","[0,0]","[135.199,-675.816]","[0.018158,0.0573735]","[1.41934,2.90981]",83831.1,0.732879,1,"[24505.4]","[1.84995]","[-1.71679]","[79924.4]","[0.9794]","[0]","[0]","[-0.880309]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[299.889,65.3134]",4116.46,"[1880.27]","[]","[]","[]"
