event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
37,284500,2336533,364175,-1,94.8755,3.9804e+06,1.25133,0.97446,0.998337,1,1,1,0.98483,1,1,0,0,2,"[1,0]","[1,0]","[52634.8,14840.3]","[-0.44534,-0.785268]","[-1.13524,1.324]","[57941.1,19656.1]","[0.023941,0.196213]","[-1,1]","[11,13]","[1,1]","[0,6247.63]","[1548.78,-1217.07]","[0.0170152,0.100769]","[1.59607,7.63767]",59760.7,2.33853,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[84.1616,48.6941]",19650.2,"[]","[]","[]","[]"
47,284500,126485,364175,1,94.8755,3.9804e+06,0.351687,0.9724,0.988313,1,1,0.999492,0.96574,1,1,0,0,2,"[1,0]","[1,0]","[53857.2,21052.5]","[1.04629,0.28751]","[2.56592,0.796744]","[86126.2,21928.9]","[0.0118713,-144.534]","[1,1]","[11,13]","[1,1]","[1321.53,1649.19]","[-277.733,167.998]","[-0.00398298,-0.211029]","[0.293737,17.5742]",124536,2.79686,1,"[85746.8]","[1.28855]","[-0.999293]","[167667]","[0.999617]","[0]","[0]","[-0.095931]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[244.958,115.051]",6915.37,"[2287.91]","[]","[]","[]"
56,284500,1579914,364175,0.162217,94.8755,3.9804e+06,0.402058,0.92407,0.986954,1,1,0.925143,0.93264,1,1,0,0,2,"[1,0]","[1,0]","[29949.4,9193.61]","[-1.18917,1.73454]","[-1.67998,1.84203]","[53741.6,26858.5]","[0.0569925,-0.100902]","[-1,1]","[11,13]","[1,1]","[0,0]","[-1046.27,182.251]","[-0.0128924,-0.0196639]","[0.868576,1.06459]",27568.6,0.297029,3,"[76560.3,35810.7,22577.1]","[0.631211,2.13044,0.828749]","[1.84452,-1.42399,-0.278178]","[92516,153015,31085.1]","[0.930811,0.889219,0.966008]","[0,5,0]","[0,0,0]","[-0.890074,-0.629876,-0.718832]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[99.6179,15.7148]",358.445,"[3785.84,2289.22,3635.77]","[]","[]","[]"
57,284500,1579917,364175,1,94.8755,3.9804e+06,1.55465,0.97738,0.997152,1,1,0.9371,1.00056,1,1,0,0,2,"[1,0]","[1,0]","[75516.5,8997.4]","[0.473314,0.376259]","[1.93063,-2.04768]","[84134.5,9642.41]","[0.0308151,-0.108942]","[-1,1]","[11,13]","[1,1]","[0,0]","[-1438.59,-68.2252]","[0.0212812,-0.0477843]","[1.80345,3.46213]",32617.1,-2.58832,2,"[52359.1,30366.3]","[-0.553257,-0.0751148]","[-0.352146,-1.13456]","[60947.5,31140.9]","[0.994689,0.961874]","[0,5]","[0,0]","[-0.858094,0.0649927]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[172.837,49.712]",1923.18,"[3441.3,2338.52]","[]","[]","[]"
71,284500,1807735,364175,1,94.8755,3.9804e+06,1.55465,0.97361,1,1,1,0.998024,0.98448,1,1,0,0,2,"[1,0]","[1,0]","[49465.8,23660]","[-0.256005,0.782663]","[1.33642,-1.26484]","[51095.6,31284.1]","[0.101311,0.0156059]","[-1,1]","[11,11]","[1,0]","[0,0]","[131.981,5843.81]","[-0.025771,0.0128888]","[2.05165,0.886056]",17519.1,-0.703378,1,"[22533.7]","[1.95174]","[-2.6793]","[81050.6]","[1]","[0]","[0]","[-0.712637]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[213.963,85.3669]",214.486,"[1713.2]","[]","[]","[]"
93,284500,109034,364175,1,94.8755,3.9804e+06,1.1961,0.96304,0.993328,1,1,0.997764,0.9991,1,1,0,0,2,"[1,0]","[1,0]","[46856.4,13134.2]","[-1.75922,-1.3344]","[1.62459,-0.222901]","[140102,26669.4]","[0.0548744,-0.373852]","[1,-1]","[11,13]","[1,1]","[0,3059.92]","[-486.135,-765.151]","[0.0218412,-0.0608117]","[1.11094,4.89765]",4695.14,0.750227,2,"[36760.1,25223.3]","[1.10906,-1.45122]","[-1.3085,-2.62586]","[62292.6,57053]","[0.992592,0.997188]","[0,0]","[0,0]","[-0.924898,-0.767445]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[252.511,34.9958]",22760.5,"[2042.65,1820.59]","[]","[]","[]"
94,284500,110277,364175,-1,94.8755,3.9804e+06,1.26459,0.95684,1,1,1,1,0.96441,1,1,0,0,2,"[1,0]","[1,0]","[31477.8,8529.45]","[-1.1317,2.19846]","[1.8315,1.19217]","[53880.5,38903.4]","[0.00365829,75.0578]","[1,1]","[11,11]","[1,0]","[0,0]","[1804.55,3278.98]","[-0.0100712,-0.00340561]","[0.689239,0.0794688]",48682,-1.12719,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[103.735,71.7094]",222.676,"[]","[]","[]","[]"
156,284500,1258359,364175,-1,94.8755,3.9804e+06,1.26459,0.975993,1,1,1,0.999257,0.95211,1,1,0,0,2,"[1,0]","[1,0]","[36599.3,8922.21]","[-0.888412,0.68821]","[-0.733963,1.79508]","[52018.2,11119.9]","[0.0278549,77.3246]","[1,-1]","[11,11]","[1,0]","[0,0]","[-379.443,-1626.98]","[0.0266427,-0.0126418]","[2.37915,0.172202]",62072.2,2.82423,1,"[54826.9]","[-1.79629]","[-0.0269557]","[169906]","[0.99]","[0]","[0]","[-0.839242]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[86.3883,140.94]",2091.28,"[2870.08]","[]","[]","[]"
172,284500,2332467,364175,1.70598,94.8755,3.9804e+06,1.55465,0.97553,0.997212,1,1,0.933647,1.01265,1,1,1,0,2,"[1,0]","[1,1]","[89650.8,35200.9]","[1.76797,1.41326]","[-0.587314,2.80846]","[270280,76609.5]","[0.0666462,0.040596]","[-1,1]","[11,13]","[1,1]","[0,1375.33]","[395.198,376.904]","[-0.0013325,-0.0573926]","[0.112317,7.71901]",40106.9,-1.72581,2,"[35607.5,32325.7]","[-0.813346,1.63906]","[2.17928,1.79354]","[48369.5,86518.9]","[0.994766,0.999407]","[0,5]","[0,0]","[-0.910617,0.735487]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[867.115,226.414]",8140.77,"[4952.82,1774.86]","[]","[]","[]"
215,284500,2324116,364175,1,94.8755,3.9804e+06,0.75088,0.97663,1.01112,1,1,0.995611,1.00121,1,1,0,0,2,"[1,0]","[1,0]","[94761.1,33235.5]","[-1.97275,-0.0835029]","[1.4869,0.922152]","[347276,33351.6]","[-0.0714531,59.1758]","[1,-1]","[11,13]","[1,0]","[0,1652.97]","[-880.268,-408.314]","[0.0190591,2.60214]","[1.8857,65.0206]",49231.7,-2.17619,3,"[30073.4,28220.2,28010]","[0.994283,2.21867,-1.51991]","[-3.03368,-1.0135,-2.33973]","[46446.7,131339,67291.1]","[0.994141,0.997034,0.996812]","[0,0,0]","[0,0,0]","[-0.658138,-0.235448,-0.777881]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1136.57,252.466]",6597.62,"[3391.75,3255.6,4399.1]","[]","[]","[]"
219,284500,1104810,364175,1,94.8755,3.9804e+06,1.22586,0.95847,0.988089,1,1,1,0.96697,1,1,0,0,2,"[1,0]","[1,0]","[40759,11947.3]","[0.0312337,1.95921]","[-0.576139,-3.03843]","[40778.9,43217.7]","[-0.136851,-1.12146]","[1,1]","[11,13]","[1,1]","[0,0]","[-77.7644,1607.67]","[0.0238748,0.600896]","[2.84152,36.9921]",22383,1.18016,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[158.757,64.7033]",1385.28,"[]","[]","[]","[]"
262,284500,730050,364175,1,94.8755,3.9804e+06,0,0.962665,1,1,1,0.999488,0.99066,1,1,0,0,2,"[1,0]","[1,0]","[34690.9,7376.43]","[0.087322,-0.556644]","[-0.536657,0.742633]","[34823.2,8549.04]","[-0.0674839,0.0120068]","[1,-1]","[11,11]","[1,0]","[0,0]","[-1255.92,4884.55]","[0.00993096,0.00328173]","[1.01759,0.192495]",67349.7,1.31731,1,"[76448.6]","[-0.340548]","[-2.3151]","[81539.6]","[0.994996]","[0]","[0]","[-0.899978]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[25.422,219.165]",1092.24,"[2315.76]","[]","[]","[]"
312,284500,3520709,364175,-1,94.8755,3.9804e+06,1.25133,0.980668,1,1,1,0.999015,1.00136,1,1,0,0,2,"[1,0]","[1,0]","[56654.4,9486.19]","[1.68376,0.204823]","[2.10237,1.34672]","[157823,9685.87]","[-0.0719643,0.101162]","[1,1]","[11,11]","[1,1]","[0,4368.47]","[2780.39,1244.22]","[-0.0076213,0.145621]","[0.418451,6.71202]",50090.6,3.0416,2,"[89464.2,39171.9]","[0.341537,-0.899496]","[-0.605515,-1.33026]","[95115.1,56256.6]","[0.990645,1]","[0,0]","[0,0]","[-0.839999,-0.197024]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[465.428,113.645]",6938.45,"[6617.19,2043.37]","[]","[]","[]"
318,284500,3296425,364175,1,94.8755,3.9804e+06,1.24168,0.96988,1,1,1,0.999687,1.00441,1,1,0,0,2,"[1,0]","[1,0]","[63140.7,11020.7]","[1.55208,2.64367]","[0.894117,-1.57858]","[155739,77893.8]","[0.013539,-0.359558]","[-1,-1]","[11,13]","[1,0]","[12112.8,0]","[3821.66,-380.852]","[0.0380359,0.0569958]","[2.20955,3.06524]",41743.3,-1.47747,1,"[49370.2]","[0.114951]","[-3.06088]","[50008.3]","[0.982247]","[0]","[0]","[-0.950112]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[592.244,61.1115]",127.668,"[4277.03]","[]","[]","[]"
388,284500,2323486,364175,1,94.8755,3.9804e+06,1.74563,0.95254,0.996359,1,1,0.999613,1.0295,1,1,0,0,2,"[1,0]","[1,0]","[42768.2,10193.6]","[1.84938,0.111535]","[-0.679934,-2.28534]","[139279,10257.6]","[0.0780721,-0.064723]","[1,1]","[11,13]","[1,1]","[0,1921.19]","[-389.729,-410.284]","[0.00528671,-0.0560748]","[0.37559,3.71976]",30877.3,-3.05596,1,"[42627.2]","[0.370496]","[1.72479]","[45905.8]","[0.99754]","[0]","[0]","[-0.829708]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[627.854,61.6869]",89.5684,"[5450]","[]","[]","[]"
497,284500,2322519,364175,-1,94.8755,3.9804e+06,1.24168,0.98458,0.987935,1,1,0.946436,1.00582,1,1,0,0,2,"[1,0]","[1,0]","[90272.1,9214.47]","[-0.325298,-1.32045]","[0.32007,-2.12945]","[95090.6,18485.1]","[0.0264626,-67.6447]","[-1,-1]","[11,13]","[1,1]","[0,0]","[251.031,-935.853]","[0.00557599,-0.155389]","[0.66117,10.8987]",31746.2,1.62674,2,"[59779,31263.1]","[-0.268596,2.45903]","[-2.50387,3.02541]","[62294.7,184279]","[0.999949,0.984701]","[4,4]","[0,0]","[0.352664,-0.133438]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[251.173,27.9082]",4708.4,"[1901.12,1694.76]","[]","[]","[]"
548,284500,3552006,364175,-1,94.8755,3.9804e+06,0.619412,0.93241,0.999319,1,1,0.999643,0.94166,1,1,0,0,2,"[1,0]","[1,0]","[32108.4,7954.73]","[1.2395,-0.262141]","[0.878499,-1.33121]","[60097.5,8230.29]","[0.0127945,0.0916443]","[1,1]","[11,13]","[1,1]","[0,1170.74]","[-1124.91,1795.98]","[0.0014531,-0.322415]","[0.139947,24.2986]",76556.2,3.00054,1,"[64346.5]","[0.162238]","[-0.150314]","[65665.4]","[0.969245]","[0]","[0]","[-0.923624]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[236.121,21.694]",3019.55,"[3593.93]","[]","[]","[]"
576,284500,2474497,364175,1,94.8755,3.9804e+06,1.22586,0.96073,1,1,1,1,0.98827,1,1,0,0,2,"[1,0]","[1,0]","[31150.6,11384.3]","[-0.0272898,2.56361]","[-1.38768,-0.868476]","[31162.2,74337.6]","[0.0665207,1.36103]","[1,-1]","[11,13]","[1,0]","[0,1654.37]","[-348.54,4575.26]","[-0.0264297,-0.115751]","[2.81438,3.92153]",21069.4,1.78986,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[106.563,82.4896]",44740.2,"[]","[]","[]","[]"
630,284500,2420975,364175,1,94.8755,3.9804e+06,1.55465,0.93912,0.987935,1,1,1,0,1,1,0,0,2,"[1,0]","[1,0]","[26219.2,8859.8]","[-2.3802,-1.98452]","[0.639448,1.98205]","[142890,32839]","[75.5361,73.2922]","[-1,-1]","[11,13]","[1,1]","[0,0]","[23.2412,3203.93]","[0.0986211,0.361237]","[2.06338,19.0667]",34850,-3.07393,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[207.166,14.0569]",833.168,"[]","[]","[]","[]"
684,284500,894911,364175,1,94.8755,3.9804e+06,1.55465,0.96615,0.992748,1,1,1.03583,0.98962,1,1,0,0,2,"[1,0]","[1,0]","[61899.8,7203.66]","[1.24587,-1.60301]","[-0.735298,-1.5978]","[116485,18619]","[0.023469,-43.2662]","[-1,-1]","[11,13]","[1,0]","[0,0]","[-407.337,-135.723]","[0.0207293,-0.0185922]","[1.97764,0.92433]",79645.5,1.52096,2,"[30683.5,21220]","[-0.379169,0.347297]","[-2.82657,-2.18872]","[33747.2,23120.9]","[0.991552,0.853707]","[5,0]","[0,0]","[0.876968,-0.40029]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[198.697,43.8574]",14364.1,"[1690.5,1625.58]","[]","[]","[]"
815,284500,2000150,364175,1,94.8755,3.9804e+06,0.187531,0.8739,1,1,1,0.996298,0,1,1,0,0,2,"[1,0]","[1,0]","[25820.7,8175.12]","[2.46092,0.354732]","[-1.21874,-2.98853]","[152354,8694.89]","[0.0998573,-0.216454]","[1,-1]","[11,11]","[1,0]","[0,1682.05]","[-636.004,4143]","[-0.0169256,0.139875]","[0.692154,1.0389]",72334.7,2.14449,4,"[53530.8,27362,22442.7,20365.3]","[0.895883,-0.753072,-1.17862,2.45963]","[-0.285408,-2.85429,-1.2994,0.599316]","[77270,35923.3,40249.8,120083]","[0.989419,1,0.837501,0]","[0,0,0,0]","[0,0,0,0]","[-0.903122,-0.771199,-0.816273,-0.789516]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[382.903,124.274]",5811.61,"[7302.92,4218.43,1870.68,1373.69]","[]","[]","[]"
887,284500,2507436,364175,1,94.8755,3.9804e+06,1.74563,0.94379,0.996596,1,1,0.997487,0.90506,1,1,0,0,2,"[1,0]","[1,0]","[28470.1,8109.11]","[-0.663583,-2.38024]","[0.589857,2.24376]","[34971.9,44195]","[-0.0237503,-0.964104]","[1,-1]","[11,13]","[1,1]","[0,0]","[3004.27,-82.4946]","[-0.000243,0.0965044]","[0.0240203,4.02939]",51503,-2.2915,2,"[30993.8,24083.9]","[-2.1163,-0.997917]","[-0.0896064,1.87909]","[130552,37235]","[0.877771,0.991261]","[0,0]","[0,0]","[-0.83355,-0.640865]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[147.152,71.5282]",2077.21,"[2774.42,2428.06]","[]","[]","[]"
900,284500,2392251,364175,1,94.8755,3.9804e+06,0.75088,0.984898,1,1,1,1.05061,0.96201,1,1,0,0,2,"[1,0]","[1,0]","[49779.4,9285.01]","[0.748209,0.760535]","[1.05647,-2.28298]","[64375.3,12102.3]","[-0.0499802,-75.6187]","[1,1]","[11,11]","[1,1]","[0,0]","[2260.2,-407.692]","[0.01983,0.0236641]","[1.42608,1.38739]",41034,1.39984,2,"[49872.1,43132]","[-1.1209,1.22457]","[-2.32627,0.307375]","[84997.1,80007.6]","[0.9943,0.994415]","[0,5]","[0,0]","[-0.912307,0.998537]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[134.76,112.432]",3309.54,"[2181.99,3066.83]","[]","[]","[]"
929,284500,2501012,364175,-1,94.8755,3.9804e+06,0.351687,0.96615,0.996359,1,1,0.998821,0.98962,1,1,0,0,2,"[1,0]","[1,0]","[65222.2,11960.7]","[1.33805,0.125448]","[2.73995,2.73446]","[132857,12055.4]","[-0.00170135,-111.286]","[1,1]","[11,13]","[1,1]","[0,0]","[-1192.79,-1303.3]","[-0.0142598,0.0146227]","[1.41196,0.80219]",34822.2,0.375216,2,"[45551.4,23645.9]","[0.878956,0.262886]","[-0.386035,-1.53812]","[64771.1,24766.1]","[0.992343,0.999285]","[0,0]","[0,0]","[-0.915449,-0.803681]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[390.687,34.3666]",16.7305,"[3157.01,4207.33]","[]","[]","[]"
1081,284500,3176025,364175,1.53796,94.8755,3.9804e+06,0.619412,0.97446,1,1,1,1,0.98483,1,1,0,0,2,"[1,0]","[1,0]","[56780.1,13028.2]","[-0.237684,-2.59181]","[-0.794333,2.50423]","[58391.6,87476.8]","[-0.0855942,-1.60508]","[-1,1]","[11,13]","[1,0]","[0,0]","[1722.77,-486.574]","[-0.0303563,0.421059]","[4.80089,21.2389]",52299.4,1.97786,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[169.189,101.732]",85.8828,"[]","[]","[]","[]"
1085,284500,3184076,364175,1,94.8755,3.9804e+06,0.351687,0.96853,0.998091,1,1,0.998603,0.98869,1,1,0,0,2,"[1,0]","[1,0]","[72664.4,7425.25]","[-1.89464,0.800225]","[-0.146708,-0.878321]","[247078,9932.84]","[0.103092,0.0644569]","[-1,1]","[11,13]","[1,1]","[0,1655.67]","[963.842,955.135]","[0.0396106,0.256814]","[1.97882,10.6632]",16402.3,2.43717,2,"[34604.5,23171.7]","[-0.621213,0.619749]","[-2.20811,2.55454]","[42208.4,28305]","[0.994791,0.990384]","[0,0]","[0,0]","[-0.76668,-0.838859]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[500.678,45.6183]",38566.6,"[2216.9,3362.17]","[]","[]","[]"
1090,284500,376004,364175,1.05412,94.8755,3.9804e+06,0.923924,0.936603,1,1,1,0.99766,0.98448,1,1,0,0,2,"[1,0]","[1,0]","[46740.9,13858.9]","[-0.217979,-1.16029]","[-0.930384,1.66439]","[47855.8,24282.5]","[0.0197639,-0.0931282]","[1,-1]","[11,11]","[1,0]","[0,3469.49]","[2259.11,1578.45]","[0.0275484,-0.092969]","[2.85957,5.15327]",59514.5,-3.12765,2,"[42908,37665.9]","[-1.47265,-2.42052]","[0.775636,-2.17845]","[98634.4,213698]","[0.991568,0.999563]","[0,0]","[0,0]","[-0.883928,0.0410109]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[57.9353,190.044]",2070.83,"[2270.82,3838.93]","[]","[]","[]"
1117,284500,1574463,364175,1,94.8755,3.9804e+06,0.75088,0.89853,1,1,1,0.999669,0.98898,1,1,0,0,2,"[1,0]","[1,0]","[37801.8,15213.2]","[-2.39084,-2.03072]","[-1.98814,1.06663]","[208179,58957.2]","[0.105034,-3.9848]","[-1,1]","[11,11]","[1,0]","[0,3307.8]","[671.231,1376.86]","[0.0189833,0.281188]","[1.17509,6.89908]",76165.4,0.87226,1,"[49096.7]","[-0.93239]","[-2.43106]","[72395.5]","[0.980587]","[0]","[0]","[-0.472459]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[55.5145,98.6386]",5036.91,"[5529.65]","[]","[]","[]"
1219,284500,902596,364175,1,94.8755,3.9804e+06,1.25133,0.9823,0.989297,1,1,1.02592,1.00632,1,1,0,0,2,"[1,0]","[1,0]","[138332,11505]","[0.41928,-1.36145]","[2.0633,-2.12078]","[150670,23920]","[0.0461578,-0.0407867]","[1,1]","[11,13]","[1,1]","[0,6703.96]","[132.275,2365.82]","[-0.0204776,-0.122546]","[2.59125,9.73987]",49302.2,-1.60299,4,"[74592.5,24175.6,23457.3,20126.5]","[0.69288,-0.578174,0.906975,-1.87854]","[-0.484458,-1.51434,-0.952636,0.815741]","[93932.8,28514.7,33870.4,67470.4]","[0.999165,0.987295,0.902894,1]","[0,0,0,5]","[0,0,0,0]","[-0.957914,-0.401166,-0.741694,0.0767474]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1624.56,26.068]",1225.8,"[3808.66,4263.17,2022.43,2203.67]","[]","[]","[]"
1220,284500,902399,364175,1,94.8755,3.9804e+06,1.26205,0.97446,1,1,1,0.980234,0.98483,1,1,0,0,2,"[1,0]","[1,0]","[51221.5,8424.25]","[-0.342668,2.53824]","[-0.329882,-0.805071]","[54258.3,53647.4]","[0.0246601,0.134542]","[1,1]","[11,13]","[1,0]","[0,0]","[984.621,-332.58]","[0.0112767,-0.0185421]","[0.981147,0.821278]",36851.3,2.05518,2,"[40427.1,26365.2]","[-1.59473,-0.261717]","[2.82035,-1.9762]","[103932,27629.7]","[0.988676,0.996054]","[0,4]","[0,0]","[-0.879862,-0.819758]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[233.07,67.2527]",6826.44,"[5531.25,5118.15]","[]","[]","[]"
1241,284500,717287,364175,1,94.8755,3.9804e+06,1.32095,0.97429,1,1,1,0.997782,0.98653,1,1,0,0,2,"[1,0]","[1,0]","[50201.8,9675.84]","[0.317016,0.282837]","[-0.875671,2.43396]","[52745.7,10065.4]","[-0.0408325,-0.161791]","[-1,-1]","[11,11]","[1,0]","[0,2332.05]","[-505.686,3619.27]","[0.00320996,0.162023]","[0.389037,3.30225]",18182.5,0.726531,2,"[32669.5,27553.3]","[-1.80926,0.399261]","[-2.85166,1.70391]","[102594,30597.5]","[0.751757,0.914025]","[0,0]","[0,0]","[-0.813921,-0.677244]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[303.309,83.7082]",7548.46,"[4666.37,3559.75]","[]","[]","[]"
