event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
157,284500,185794,364109,1,4.65737,1.70502e+06,0.596562,1,0.992134,1,1,0.999115,0.980912,1,0,1,0,2,"[1,1]","[1,1]","[194468,42628.7]","[-0.490002,-0.652459]","[2.56786,1.49981]","[218285,52028.8]","[0.0464859,-0.00166321]","[1,-1]","[13,13]","[1,1]","[0,0]","[-62.8209,-62.8209]","[0.0216372,0.0113387]","[3.26884,1.66201]",18794,-0.46671,2,"[269789,76073.8]","[-0.164131,-1.5802]","[-0.674055,2.71811]","[273727,192766]","[1,1]","[0,0]","[0,0]","[-0.969297,-0.848068]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[274394]","[-0.117098]","[-0.673239]","[276659]","[14536.2]","[0]","[2.14699]","[0.45644]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[4088.27,145.335]",1837.01,"[5521.11,3555.87]","[]","[3687.06]","[]"
260,284500,364964,364109,1,4.65737,1.70502e+06,1.21412,1,0.994307,1,1,0.997248,1.00608,1,0,1,0,2,"[1,0]","[1,0]","[64768.3,14221]","[-1.09056,-1.67954]","[2.40346,1.15062]","[107255,39460.1]","[-0.0370789,-0.058609]","[1,-1]","[13,13]","[1,1]","[0,0]","[-576.9,-292.556]","[-0.0140734,0.00171974]","[2.13582,0.132772]",43292.3,-0.730329,4,"[284590,121059,120087,47387.6]","[0.849335,-1.55319,-1.78173,-1.86719]","[2.66539,-0.755364,-1.34095,2.41649]","[394422,299131,367155,157066]","[0.991757,0.996694,1,0.984697]","[0,0,0,0]","[0,0,0,0]","[-0.897971,-0.470513,-0.883812,-0.900751]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[272095]","[0.890937]","[2.66769]","[388011]","[21417.6]","[0]","[1.37279]","[0.63066]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1380.26,60.3197]",3564.48,"[4710.5,7571.87,3460.33,3382.2]","[]","[17275.5]","[]"
490,284500,259989,364109,1.01355,4.65737,1.70502e+06,0.75088,1,0.988613,1,1,0.995576,0.986183,1,0,1,0,2,"[1,1]","[1,1]","[214203,51903]","[0.646904,1.35692]","[-0.605906,-1.04859]","[260608,107482]","[0.0365143,-0.0230122]","[1,-1]","[13,13]","[1,1]","[0,0]","[-1081.9,-944.764]","[-0.00745122,0.00534589]","[1.37499,0.668849]",39124.2,0.0757123,5,"[218454,90631,35408.2,30233,27053.3]","[-1.01334,-0.888981,0.586228,0.143256,-1.94313]","[2.09571,2.9345,-1.72859,-1.25433,2.34404]","[342044,129196,42312.1,31278.9,96537.3]","[0.997699,0.99398,0.98802,0.977257,0.835328]","[0,0,0,0,0]","[0,0,0,0,0]","[-0.838786,-0.900575,-0.77352,-0.658196,-0.900045]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[298844]","[-1.04012]","[2.33719]","[495151]","[137747]","[0]","[0.90838]","[0.700919]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[5084.67,766.796]",18990.7,"[6680.24,7729.34,2641.48,2708.35,2226.8]","[]","[43.625]","[]"
685,284500,666781,364109,1,4.65737,1.70502e+06,0.696077,1,0.993837,1,1,1.24377,0.905584,1,0,1,0,2,"[1,1]","[1,0]","[187642,99109.1]","[0.277004,0.73678]","[0.287684,-0.149146]","[194887,127249]","[-0.00624847,0.0345726]","[1,-1]","[13,13]","[1,1]","[0,0]","[-390.964,1284.41]","[-0.0155105,-0.017096]","[3.03102,2.26668]",77597.3,-0.0695241,4,"[238684,76035.8,39798.6,21927.1]","[-0.152658,2.18414,-1.94338,-2.41817]","[-2.86611,-3.07075,2.45665,2.89402]","[243219,342143,141971,124137]","[0.991569,0.99,0.976122,0.124096]","[0,0,0,0]","[0,0,0,0]","[-0.813797,0.890685,-0.937614,-0.835911]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[258465]","[-0.184773]","[-2.85861]","[265332]","[35911.5]","[0]","[1.78664]","[0.816685]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[8636.96,169.872]",31575.6,"[4459.4,2651.85,2293.45,1707.93]","[]","[14862.7]","[]"
1098,284500,406478,364109,-1,4.65737,1.70502e+06,0.619412,1,0.997754,1,1,0.997658,1.04487,1,0,1,0,2,"[1,1]","[1,1]","[339297,98016.8]","[-0.93176,-1.38764]","[0.772952,0.541415]","[497551,208533]","[0.00365639,0.0207481]","[-1,1]","[13,13]","[1,1]","[0,1018.17]","[-804.605,-457.799]","[0.00635577,0.00307642]","[1.07782,0.570471]",26696.7,-2.62251,4,"[360987,68272.2,31483.8,25047]","[-0.876857,1.21017,-0.665305,0.973094]","[-2.62381,-1.549,-1.57855,-0.546755]","[510181,125022,39145.7,38055.6]","[0.996376,0.993464,0.989447,0.990361]","[0,0,0,0]","[0,0,0,0]","[-0.829232,-0.933497,-0.882662,-0.932185]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[362123]","[-0.892586]","[-2.62506]","[517188]","[31759.1]","[0]","[2.02476]","[0.750529]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[9258.84,2367.07]",12764.7,"[4908.67,3865.18,4398,2349.07]","[]","[22345.8]","[]"
1210,284500,248279,364109,-1,4.65737,1.70502e+06,1.26459,1,1.00069,1,1,0.997295,1.02007,1,0,1,0,1,"[1]","[1]","[149542]","[1.57054]","[0.322272]","[375138]","[-0.0065403]","[-1]","[13]","[1]","[0]","[-418.568]","[-0.00821915]","[1.26014]",39264.9,0.786816,2,"[290512,23047.5]","[1.72567,1.91388]","[-2.4998,1.23173]","[841968,79974.7]","[0.997585,1]","[0,0]","[0,0]","[-0.862523,-0.622203]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[295944]","[1.73021]","[-2.49891]","[861484]","[27012.6]","[0]","[2.74224]","[0.683253]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[9012.96]",39264.9,"[4387.93,1619.17]","[]","[25162.9]","[]"
1331,284500,270767,364109,2.64883,4.65737,1.70502e+06,1.1961,1,0.999456,1,1,1.18227,0.991244,1,0,1,0,1,"[1]","[1]","[45777.2]","[-1.543]","[-0.724037]","[111979]","[-0.00934601]","[1]","[13]","[1]","[0]","[567.436]","[0.000859175]","[0.104925]",126924,-0.838257,3,"[227945,139250,85079.4]","[-0.382814,0.704017,0.0736792]","[2.45937,-0.0832899,3.09514]","[245483,175682,86623.9]","[0.996506,0.986602,0.0147434]","[0,0,0]","[0,0,0]","[0.832168,-0.655894,-0.743082]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[274444]","[-0.336459]","[2.61353]","[300193]","[77091.8]","[0]","[1.02433]","[0.711848]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[431.85]",2327.47,"[8793.9,2269.16,1800.04]","[]","[33133.4]","[]"
1410,284500,372793,364109,1,4.65737,1.70502e+06,0.923924,1,0.991449,1,1,0.998694,0.91148,1,0,1,0,2,"[1,1]","[1,1]","[118179,107873]","[-1.39757,-1.04003]","[2.12855,1.46242]","[253645,171666]","[0.0119171,-0.0112839]","[1,-1]","[13,13]","[1,0]","[0,0]","[-517.688,361.194]","[-0.0116645,-0.00366285]","[1.77973,0.738007]",13896,-0.591107,2,"[274008,199136]","[-0.455493,1.76769]","[-0.569009,-2.87422]","[304085,600402]","[0.99802,0.995379]","[0,0]","[0,0]","[-0.724477,-0.866795]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[268299]","[-0.418546]","[-0.572409]","[292763]","[19015.7]","[0]","[1.1508]","[0.356933]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[790.654,5062.86]",7548.47,"[3244.77,8551.59]","[]","[9231.16]","[]"
1561,284500,697839,364109,-1,4.65737,1.70502e+06,0.696077,1,0.993241,1,1,0.999711,0.844503,1,0,1,0,1,"[1]","[1]","[264272]","[-0.860641]","[-1.68118]","[368338]","[-0.0122299]","[1]","[13]","[1]","[0]","[-418.108]","[-0.00281088]","[0.695208]",37490.4,-2.0561,1,"[292820]","[-0.220667]","[1.4267]","[301578]","[0.997717]","[0]","[0]","[-0.860825]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[287118]","[-0.240761]","[1.42325]","[296738]","[27303.5]","[0]","[2.12262]","[0.651057]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[18421.5]",23405.2,"[3401.3]","[]","[14117.4]","[]"
1627,284500,1068535,364109,1.52489,4.65737,1.70502e+06,1.26205,1,1.00035,1,1,0.998254,0.984151,1,0,1,0,1,"[1]","[1]","[132621]","[2.23339]","[-1.98117]","[625878]","[0.0234132]","[1]","[13]","[1]","[0]","[-213.673]","[-0.0159744]","[1.8066]",101504,-3.01283,3,"[319060,86608.5,24279.2]","[0.151307,-0.670569,1.08781]","[0.727169,-2.43217,-2.32854]","[323482,107166,40459.4]","[1,0.984505,0.602997]","[0,0,0]","[0,0,0]","[-0.846834,-0.955013,-0.613182]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[334312]","[0.156098]","[0.729493]","[339044]","[20987.8]","[0]","[3.2182]","[0.520124]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[18766.5]",1394.05,"[3430.97,2763.31,1442.03]","[]","[14137.2]","[]"
2020,284500,249311,364109,1,4.65737,1.70502e+06,1.25133,1,0.998259,1,1,0.999632,0.935601,1,0,1,0,2,"[1,1]","[1,0]","[232892,91448.4]","[0.271774,0.042137]","[-0.245536,-0.79659]","[241546,91529.7]","[0.0573092,-0.0304041]","[-1,1]","[13,13]","[1,0]","[1206.41,0]","[-297.732,-753.266]","[0.0376586,0.0328374]","[8.3921,6.09963]",39008.9,1.13385,1,"[322968]","[-0.954988]","[2.80284]","[483919]","[0.997544]","[0]","[0]","[-0.872648]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[343550]","[-0.960221]","[2.80741]","[516680]","[47629.9]","[0]","[1.70182]","[0.681299]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[8034.52,1215.36]",2239.44,"[4626.01]","[]","[3071.31]","[]"
2155,284500,368712,364109,1,4.65737,1.70502e+06,0.619412,1,0.987227,1,1,0.997499,0.97214,1,0,1,0,2,"[1,1]","[1,1]","[226670,30265.9]","[-1.25496,-1.8197]","[-1.67519,-0.808812]","[429855,95823.6]","[0.0870857,0.00765514]","[1,-1]","[13,13]","[1,1]","[0,0]","[-203.281,-92.3717]","[-0.00541147,-0.0264163]","[1.2506,3.03688]",54702,-1.06506,2,"[234356,20117.6]","[-0.650636,-2.29533]","[1.49157,1.18871]","[286426,100964]","[0.993131,0.98728]","[0,0]","[0,0]","[-0.849596,-0.853904]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[250956]","[-0.660993]","[1.49037]","[308292]","[17345.5]","[0]","[2.74227]","[0.591019]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[23601.5,147.321]",22580.7,"[7507.7,1177.31]","[]","[0]","[]"
2568,284500,184068,364109,1.09951,4.65737,1.70502e+06,1.25133,1,0.99726,1,1,0.998228,0.905538,1,0,1,0,1,"[1]","[1]","[211399]","[-0.161632]","[2.32505]","[214166]","[-0.0793076]","[1]","[13]","[1]","[0]","[-104.42]","[0.0172882]","[3.16152]",36015.4,2.74029,3,"[307579,47417.9,32099.4]","[-0.835272,1.63906,-0.316781]","[-0.574323,2.8857,-2.95309]","[421681,126784,34470]","[0.995127,0.989923,1]","[0,0,0]","[0,0,0]","[-0.621771,-0.478958,-0.935058]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[304864]","[-0.815946]","[-0.567237]","[412144]","[5674.63]","[0]","[1.21351]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1571.87]",17124.7,"[17519.9,2209.69,4308.9]","[]","[16469.9]","[]"
2585,284500,189575,364109,1,4.65737,1.70502e+06,0.738662,1,0.985263,1,1,0.995885,1.02127,1,0,1,0,1,"[1]","[1]","[341827]","[1.68494]","[0.000245542]","[953289]","[0.034234]","[-1]","[13]","[0]","[0]","[-327.266]","[0.0221411]","[4.98153]",69239.8,-2.26233,4,"[361618,73164.6,38238.4,20144.5]","[0.166541,-0.40745,1.75579,1.79035]","[-2.9005,1.11221,0.898964,1.91762]","[367670,80452.2,114190,62140.4]","[0.99911,0.993149,0.997542,0.959094]","[0,0,0,0]","[0,0,0,0]","[-0.755945,-0.816147,-0.961464,-0.771611]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[366954]","[0.173051]","[-2.90219]","[372920]","[18482.6]","[0]","[3.42115]","[0.572421]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[33931.5]",16311.5,"[4899.61,3550.24,2671.27,1218.68]","[]","[30993.6]","[]"
2698,284500,367933,364109,-1,4.65737,1.70502e+06,0.75088,1,0.994451,1,1,0.999119,0.760669,1,0,1,0,2,"[1,1]","[1,1]","[272841,30136.1]","[0.955352,0.929816]","[-2.52816,-1.55463]","[407115,44129.5]","[0.0524349,0.0331402]","[-1,1]","[13,13]","[1,1]","[0,0]","[950.078,-504.281]","[-0.00531532,-0.0259336]","[0.825581,2.39754]",17406.1,1.69684,2,"[295506,34516.4]","[0.155113,-0.628778]","[0.551195,2.49893]","[299503,41955.7]","[0.990917,0.96]","[0,0]","[0,0]","[-0.696392,-0.840751]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[291241]","[0.160993]","[0.554335]","[295311]","[13038.7]","[0]","[11.335]","[0.262606]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[12448,60.7247]",215.727,"[3562.91,2028.89]","[]","[5946.31]","[]"
2859,284500,248633,364109,1,4.65737,1.70502e+06,1.32095,1,0.981496,1,1,0.996464,0.988703,1,0,1,0,2,"[1,1]","[1,0]","[270893,8964.68]","[0.622815,1.92564]","[-1.11446,-2.46447]","[325153,31400.4]","[0.0239749,0.0404639]","[-1,1]","[13,13]","[0,1]","[0,0]","[724.566,-366.693]","[-0.00363609,0.0243187]","[0.73781,1.15486]",15877.7,1.93098,3,"[252187,43309.8,26378.8]","[1.77213,1.58779,1.26222]","[1.72859,-3.10924,-2.29512]","[763456,110500,50446.1]","[0.995195,0.991253,0.987634]","[0,0,0]","[0,0,0]","[-0.778432,-0.867033,-0.667021]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[259480]","[1.77917]","[1.73029]","[790705]","[12875.5]","[0]","[5.71628]","[0.53373]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[31227.2,51.2097]",2845.7,"[10892.6,6900.64,3954.69]","[]","[5191.64]","[]"
3098,284500,390879,364109,1,4.65737,1.70502e+06,1.21412,1,0.992629,1,1,0.998821,0.970733,1,0,1,0,2,"[1,1]","[1,0]","[322905,36304.2]","[-0.319061,0.198342]","[0.00751146,-0.670124]","[339481,37020.8]","[-0.0224609,0.124794]","[-1,1]","[13,13]","[1,1]","[0,0]","[-375.054,-322.756]","[-0.0170155,0.00505959]","[3.27169,0.680055]",63699.9,-0.122901,2,"[400473,83102.5]","[0.710388,-0.959258]","[-2.98052,1.62817]","[507702,124794]","[0.999248,0.998926]","[0,0]","[0,0]","[-0.925699,-0.069122]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[433803]","[0.678905]","[-2.98102]","[539743]","[47204.4]","[0]","[1.63366]","[0.741208]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[32822.5,113.861]",24306.7,"[4241.62,2459.67]","[]","[6919.78]","[]"
3116,284500,390583,364109,1,4.65737,1.70502e+06,1.32095,1,0.988974,1,1,0.999411,0.917491,1,0,1,0,2,"[1,1]","[1,1]","[278183,82661.5]","[-0.291531,-0.303873]","[-0.978633,-0.37291]","[290088,86507.5]","[0.0374641,0.0354996]","[-1,1]","[13,13]","[1,1]","[0,0]","[-108.384,-423.136]","[-0.0076547,-0.0176358]","[1.34311,2.76516]",15083.2,-0.571148,1,"[360607]","[1.95811]","[2.31315]","[1.30324e+06]","[1]","[0]","[0]","[-0.903182]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[352536]","[1.9695]","[2.3097]","[1.2881e+06]","[20951.3]","[0]","[3.20015]","[0.672149]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[55764.5,1259.18]",10501.2,"[17867.3]","[]","[5417.88]","[]"
3225,284500,697527,364109,1,4.65737,1.70502e+06,0.75088,1,0.990558,1,1,0.99886,0.935601,1,0,1,0,2,"[1,1]","[1,1]","[167492,73242.7]","[1.11264,0.297337]","[-0.354286,-0.439497]","[282312,76504.4]","[0.0197751,-0.0244375]","[1,-1]","[13,13]","[1,1]","[0,0]","[-819.385,1533.02]","[0.0320006,0.0279977]","[6.26927,4.63647]",64832.4,-1.63245,2,"[237668,27570.4]","[0.23214,0.16808]","[2.60607,1.99773]","[245948,28672.6]","[0.993649,0.951633]","[0,0]","[0,0]","[-0.550114,-0.799163]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[262147]","[0.277189]","[2.69759]","[277846]","[55324.6]","[0]","[1.82543]","[0.440991]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3937.49,225.102]",1384.39,"[3979.68,3577.04]","[]","[531.531]","[]"
3423,284500,4029,364109,1,4.65737,1.70502e+06,1.22586,1,0.980875,1,1,0.999598,0.996049,1,0,1,0,2,"[1,1]","[1,1]","[285780,72098.8]","[-1.3431,-1.96731]","[0.237714,0.537682]","[584697,262844]","[-0.0588074,-0.0318565]","[-1,1]","[13,13]","[1,1]","[0,0]","[145.013,-409.381]","[-0.00370752,-0.00578369]","[0.645033,0.878491]",46998.5,-1.48828,1,"[344359]","[-0.000742429]","[-2.9682]","[345143]","[0.999055]","[0]","[0]","[-0.981658]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[343477]","[0.0215075]","[-2.96681]","[343898]","[15316.5]","[0]","[2.50775]","[0.570328]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[12294.2,1638.64]",1993.05,"[10822.2]","[]","[1927.19]","[]"
3763,284500,254240,364109,1,4.65737,1.70502e+06,0.619412,1,0.988594,1,1,0.999632,0.612398,1,0,1,0,2,"[1,1]","[1,1]","[197579,136852]","[-1.13859,-0.583679]","[-1.94118,-2.00985]","[340096,160832]","[0.00803566,0.0139561]","[1,-1]","[13,13]","[1,1]","[0,0]","[-932.188,1483.78]","[0.0218623,0.0175465]","[3.63946,2.71285]",46224.9,1.34137,1,"[328066]","[-1.0547]","[1.15659]","[528374]","[0.994092]","[0]","[0]","[-0.926791]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[326967]","[-1.06435]","[1.1569]","[530521]","[14423.5]","[0]","[3.4325]","[0.384445]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[23600.2,11662]",10458.1,"[8096.62]","[]","[10963.8]","[]"
3914,284500,373823,364109,1,4.65737,1.70502e+06,1.26205,1,0.987541,1,1,0.999109,0.844503,1,0,1,0,2,"[1,1]","[1,1]","[184780,138880]","[-0.305835,-0.867596]","[-1.58159,-1.58647]","[193490,194511]","[0.0548725,0.0160847]","[-1,1]","[13,13]","[1,1]","[0,0]","[-187.411,-297.468]","[-0.00827338,0.00798244]","[1.72549,1.26137]",12123.4,-2.96874,2,"[287940,30716]","[-0.195915,0.0811605]","[1.64198,1.03892]","[293512,31157.8]","[0.993208,0.986842]","[0,0]","[0,0]","[-0.890453,-0.86952]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[309398]","[-0.164883]","[1.59453]","[319746]","[62324.3]","[0]","[1.26422]","[0.608396]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[22085.4,4911.94]",205.948,"[3519.25,3356.34]","[]","[8002.72]","[]"
4356,284500,185550,364109,1,4.65737,1.70502e+06,0.00133961,1,0.997577,1,1,0.997625,0.924334,1,0,1,0,2,"[1,1]","[1,1]","[169946,153659]","[1.40335,0.945547]","[1.8756,1.46692]","[366623,227622]","[0.0350494,-0.00979614]","[1,-1]","[13,13]","[1,1]","[0,0]","[-178.146,63.0574]","[-0.00621105,-3.52336e-05]","[1.03274,0.00708644]",66505.7,1.52117,2,"[381602,23692]","[1.22471,2.12099]","[-1.44278,-2.64077]","[705633,100235]","[1,0.992993]","[0,0]","[0,0]","[-0.455547,-0.824111]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[375683]","[1.26162]","[-1.44344]","[716733]","[18789]","[0]","[2.80166]","[0.309284]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3758.39,9041.76]",10847.7,"[16369.8,7491.43]","[]","[6566.06]","[]"
4541,284500,247590,364109,1,4.65737,1.70502e+06,1.32095,1,0.99234,1,1,0.999624,0.89816,1,0,1,0,2,"[1,1]","[1,1]","[235223,72762.6]","[0.351191,0.960338]","[1.95893,1.66181]","[249878,108975]","[0.019846,0.0154324]","[1,-1]","[13,13]","[1,1]","[0,1672.44]","[-1121.21,-879.423]","[0.00591618,-0.00260589]","[1.32238,0.369165]",24950.9,2.11318,1,"[328501]","[0.607326]","[-1.26026]","[391987]","[0.999323]","[0]","[0]","[-0.96802]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[322890]","[0.604801]","[-1.26064]","[385540]","[36934.9]","[0]","[3.10533]","[0.467272]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[19546.5,531.298]",2093.78,"[4497.47]","[]","[8150.81]","[]"
4665,284500,260490,364109,-1,4.65737,1.70502e+06,0.923924,1,0.982744,1,1,0.996977,0.91127,1,0,1,0,2,"[1,1]","[1,1]","[284989,140119]","[-0.337882,-0.256638]","[0.614435,1.18965]","[301412,144759]","[-0.000244141,0.015667]","[-1,1]","[13,13]","[1,1]","[0,0]","[-1072.84,1003.51]","[0.0271293,0.0195135]","[5.8985,4.21909]",71848.8,0.414734,4,"[276609,125839,100398,82353.4]","[0.507465,-0.697264,2.28193,-0.249716]","[-2.4267,-2.82208,-0.876295,-2.98227]","[314500,159014,497090,85703.4]","[0.991473,0.993479,1,0.981182]","[0,0,0,0]","[0,0,0,0]","[-0.872503,-0.958653,-0.824194,-0.837474]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[415637]","[0.0941259]","[-2.61928]","[500290]","[275682]","[0]","[0.826978]","[0.562617]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[13379.6,4201.26]",1176.03,"[10249.1,2373.7,4823.56,9151.98]","[]","[12982.5]","[]"
4998,284500,1068677,364109,1.11239,4.65737,1.70502e+06,1.26205,1,0.985628,1,1,0.996798,0.975887,1,0,1,0,1,"[1]","[1]","[261143]","[1.95323]","[1.57353]","[939230]","[0.00380707]","[-1]","[13]","[1]","[0]","[503.079]","[-0.0198833]","[3.57717]",17844.3,0.905402,6,"[245185,91244.4,65661.1,43480.7,30206.8,26552.4]","[0.543483,-1.62758,-1.07546,-0.454786,0.443775,-0.433036]","[-1.75046,-0.600723,2.26573,0.392368,-2.24172,-2.06863]","[283585,241379,107773,48779.1,33514.9,29586.7]","[0.993391,1,0.998278,0.984986,0.99,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[-0.785205,-0.881332,-0.86218,-0.944859,-0.577597,-0.680341]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[282989]","[0.535115]","[-1.80368]","[337550]","[93015.7]","[0]","[2.36093]","[0.599551]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1856.9]",5533.63,"[3584.14,12615.2,7549.74,4965.95,3551.3,1886.39]","[]","[7798.59]","[]"
5830,284500,696214,364109,1,4.65737,1.70502e+06,1.32095,1,0.989561,1,1,0.996974,0.700721,1,0,1,0,2,"[1,1]","[1,1]","[216600,91446.8]","[-0.764493,-1.27927]","[2.44695,2.00205]","[283040,177052]","[0.0231323,-0.00502777]","[-1,1]","[13,13]","[1,1]","[0,0]","[1122.69,-37.9539]","[0.0033963,0.00726129]","[0.709553,1.17099]",29458,-1.33491,3,"[245272,28057.3,27569.1]","[-1.07384,1.73322,-0.544127]","[-0.890655,1.42083,-0.874569]","[402848,81974.8,32139.9]","[0.989706,0.71716,0.911493]","[0,0,0]","[0,0,0]","[-0.935586,0.372059,-0.681615]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[286879]","[-1.09803]","[-0.911325]","[482624]","[67298.5]","[0]","[1.75986]","[0.763021]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[6936.43,1284.05]",6348.03,"[10686.6,3666.74,1995.96]","[]","[15442.3]","[]"
6160,284500,397613,364109,1,4.65737,1.70502e+06,1.24168,1,0.991885,1,1,0.997292,0.969581,1,0,1,0,1,"[1]","[1]","[43190.9]","[0.944192]","[0.394448]","[63916.8]","[-0.000629425]","[-1]","[13]","[1]","[0]","[-266.555]","[0.0248471]","[3.09789]",4599.01,0.594084,3,"[271032,136443,129339]","[-1.07728,0.583398,2.43492]","[2.31409,-0.724561,-1.24845]","[444357,160589,744088]","[0.992556,1,0.956463]","[0,0,0]","[0,0,0]","[0.427743,-0.967137,-0.799232]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[265531]","[-1.09287]","[2.3201]","[440677]","[11474.9]","[0]","[5.23734]","[0.471902]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[144.717]",1082.57,"[7552.66,4685.2,4908.15]","[]","[1599.41]","[]"
