event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
1040,284500,570566,364168,1,14.5588,5.9417e+06,1.22586,1,0.999291,1,1,0.995071,1.02261,1,0,1,0,1,"[1]","[1]","[322623]","[-1.46602]","[0.454711]","[736030]","[0.0119095]","[1]","[13]","[1]","[0]","[-1159.63]","[-0.0100631]","[1.86442]",169227,-0.083801,4,"[486670,102415,29563.6,24818]","[-1.08948,0.596348,-1.92293,-0.707505]","[-2.58341,1.49516,1.76684,-3.09887]","[805986,121732,103550,31853.6]","[1,0.998959,0.972232,0.968453]","[0,0,0,0]","[0,0,0,0]","[-0.771317,-0.856264,-0.880839,-0.826169]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[442751]","[-1.11086]","[-2.59053]","[745287]","[11117.4]","[0]","[3.33722]","[0.482322]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[14341.1]",15032,"[9880.71,4431.49,5838.12,3952.96]","[]","[13228.8]","[]"
1631,284500,574852,364168,1.04223,14.5588,5.9417e+06,1.24168,1,1.00213,1,1,0.997235,0.993086,1,0,1,0,1,"[1]","[1]","[267933]","[1.44511]","[-0.356795]","[599904]","[-0.0178146]","[-1]","[13]","[1]","[0]","[-379.95]","[-0.0202168]","[4.84797]",6960,-1.79918,3,"[290669,203652,33921.7]","[1.09392,0.646657,-2.02999]","[-2.91299,1.42322,-1.58523]","[483144,248066,131417]","[0.992341,0.99,0.98]","[0,0,0]","[0,0,0]","[-0.911936,-0.874663,-0.844432]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[308379]","[1.07888]","[-2.91347]","[506418]","[21764.1]","[0]","[1.94152]","[0.642077]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[25579.3]",10069.1,"[5514.95,9280.79,3046.48]","[]","[14568.1]","[]"
1761,284500,568624,364168,1,14.5588,5.9417e+06,0.923924,1,1.01097,1,1,0.993447,1.02521,1,0,1,0,2,"[1,0]","[1,0]","[64499.3,27126.3]","[1.48238,-0.0780982]","[-2.73262,-2.62447]","[149332,27209.3]","[0.0628319,-57.9966]","[1,1]","[13,13]","[1,0]","[1015.43,0]","[-1483.32,1077.63]","[0.00932693,6.31724]","[1.19948,134.966]",110152,1.17013,6,"[280585,152710,26548.4,25510.5,23913,21454.3]","[1.1051,-0.108111,1.18308,2.41012,1.33683,-0.967373]","[1.76439,-0.57058,1.10196,-0.129237,-2.26553,-1.37851]","[470953,154199,47788.1,143249,48908.4,32682.4]","[0.995665,0.993396,0.994608,0.99,0.766238,0.640191]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[-0.875374,-0.87437,-0.612977,-0.430815,-0.915253,-0.751674]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[267695,254058]","[1.11274,-1.48319]","[1.75309,-1.81833]","[451711,589296]","[20470,27843.1]","[0,0]","[1.74957,2.01934]","[0.692091,0.684157]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[534.028,168.206]",963.211,"[4784.24,2386.92,4515.41,1979.76,1843.97,1806.28]","[]","[14696.7,12357.5]","[]"
2262,284500,572384,364168,1,14.5588,5.9417e+06,1.22586,1,0.996303,1,1,0.997165,0.94093,1,0,1,0,1,"[1]","[1]","[50434.3]","[-2.3995]","[1.00223]","[280124]","[-0.00582123]","[-1]","[13]","[1]","[1139.38]","[553.661]","[-0.000847992]","[0.10576]",122328,0.220519,3,"[314232,95721.5,30759.4]","[1.07209,0.287064,-1.51193]","[-1.88804,2.21491,-1.53124]","[513348,100328,73244.5]","[0.998557,0.998102,0.894718]","[0,0,0]","[0,0,0]","[-0.949578,-0.789634,-0.766052]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[307727]","[1.05861]","[-1.88472]","[497521]","[25437.2]","[0]","[2.21996]","[0.758558]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[369.82]",1712.71,"[3965.04,1886.86,2484.35]","[]","[6245.97]","[]"
2727,284500,572584,364168,1,14.5588,5.9417e+06,1.32095,1,0.988549,1,1,0.941334,0.964071,1,0,1,0,1,"[1]","[1]","[27297.6]","[0.364499]","[1.1016]","[29131.3]","[-0.0385933]","[-1]","[13]","[1]","[0]","[108.699]","[0.00527322]","[0.606841]",109985,1.2158,3,"[385998,286441,25869.1]","[-2.15838,-1.1896,-0.456057]","[-1.76904,1.27107,1.07903]","[1.69351e+06,514727,28831.9]","[0.991147,0.988054,0.970219]","[0,4,4]","[0,0,0]","[-0.527984,-0.878017,-0.752826]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[327642]","[-1.12929]","[1.25228]","[565687]","[81865.7]","[0]","[2.86886]","[0.790879]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[171.231]",13007.6,"[7742.04,3777.98,1284.58]","[]","[51995.8]","[]"
7133,284500,732091,364168,1,14.5588,5.9417e+06,0.923924,1,0.997938,1,1,0.979329,0.987456,1,0,1,0,1,"[1]","[1]","[66077.8]","[2.23031]","[-1.24058]","[310903]","[0.08424]","[1]","[13]","[1]","[0]","[-520.757]","[0.00557804]","[0.824346]",13262.8,1.01766,3,"[372363,332167,39053.6]","[-0.263432,2.11535,1.88902]","[0.93375,-2.29534,-2.91699]","[387791,1.39749e+06,132220]","[0.986411,1,0.96031]","[5,0,0]","[0,0,0]","[0.999789,-0.732813,-0.820531]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[359815]","[-0.279167]","[0.927052]","[375877]","[38237.1]","[0]","[1.23387]","[0.657309]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3029.25]",31003.3,"[7106.73,24279.1,2731.33]","[]","[20986]","[]"
7406,284500,729473,364168,1,14.5588,5.9417e+06,1.22586,1,0.998719,1,1,0.998251,0.991261,1,0,1,0,1,"[1]","[1]","[187242]","[1.52651]","[1.25141]","[451197]","[-0.0255127]","[-1]","[13]","[1]","[0]","[86.101]","[-0.00920699]","[1.6735]",8081.55,-2.66326,3,"[291435,138857,51975.6]","[1.20996,1.85279,0.508388]","[-1.36714,2.14721,-2.80477]","[533414,453794,59393.2]","[0.989559,0.977832,0.976369]","[0,0,0]","[0,0,0]","[-0.931178,-0.84029,-0.904302]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[268659]","[1.20614]","[-1.35882]","[489891]","[30370.7]","[0]","[1.32957]","[0.703214]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[11525.8]",9513.52,"[6683.23,5034.74,2640.82]","[]","[13901.9]","[]"
7525,284500,731195,364168,1.26263,14.5588,5.9417e+06,1.26205,1,0.987569,1,1,0.964639,1.00538,1,0,1,0,1,"[1]","[1]","[113163]","[-1.80812]","[2.68466]","[354364]","[0.0239601]","[1]","[13]","[1]","[0]","[206.398]","[0.0233245]","[3.90594]",91557.4,2.74599,4,"[370721,262814,47383.9,22745.3]","[-1.23431,-2.06673,-1.43557,-0.769037]","[-1.03289,1.5863,-1.96371,0.677]","[691959,1.05478e+06,105313,30137.6]","[0.993461,1,0.991525,0.896416]","[0,0,4,0]","[0,0,0,0]","[-0.823053,-0.841228,-0.816247,-0.785917]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[375303]","[-1.31747]","[-1.12371]","[760921]","[122831]","[0]","[1.79656]","[0.566331]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1033.4]",27504.8,"[9810.39,6633.37,2131.66,1864.74]","[]","[10043.7]","[]"
7802,284500,728935,364168,1,14.5588,5.9417e+06,1.32095,1,0.997821,1,1,0.997012,0.968027,1,0,1,0,1,"[1]","[1]","[47465.5]","[2.39914]","[1.64084]","[263541]","[-0.0287743]","[1]","[13]","[1]","[0]","[164.811]","[0.0142518]","[1.24002]",120562,-0.727573,5,"[337069,259143,102631,50337.5,22078.8]","[-1.41501,1.01647,-0.0901342,-0.613309,-0.102286]","[2.37059,-0.432075,-1.65377,2.66784,-3.08845]","[735236,405322,103656,60505,22786.9]","[0.999457,0.988546,0.990759,0.97999,0.981321]","[0,0,0,0,0]","[0,0,0,0,0]","[-0.855911,-0.763888,-0.363778,-0.892829,-0.364613]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[340858,280118]","[-1.37487,1.01035]","[2.39614,-0.430605]","[721446,436024]","[79345.3,17431.8]","[0,0]","[1.98337,3.70826]","[0.69176,0.715251]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1220.27]",249.883,"[8945.93,5726.07,3833.92,7662.41,4921.81]","[]","[40280.5,0]","[]"
9873,284500,740554,364168,1,14.5588,5.9417e+06,1.25133,1,1.0024,1,1,0.999241,0.990989,1,0,1,0,1,"[1]","[1]","[96915.7]","[-1.2753]","[0.480044]","[187005]","[0.0726433]","[-1]","[13]","[1]","[0]","[82.3214]","[-0.0098687]","[1.70264]",72604.5,-0.906945,2,"[240505,56607.3]","[0.2574,-0.746614]","[-0.857066,2.80327]","[251669,73410.6]","[0.992309,0.999727]","[0,0]","[0,0]","[-0.884967,-0.726551]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[388036,258989]","[-0.452011,0.250384]","[2.49155,-0.849315]","[436803,271564]","[85484.1,48762.8]","[0,0]","[1.42357,1.42223]","[0.745577,0.642759]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1284.37]",8057.66,"[7285.65,2029.82]","[]","[24604.6,0]","[]"
9894,284500,740624,364168,1,14.5588,5.9417e+06,1.25133,1,0.996209,1,1,0.981297,0.823896,1,0,1,0,1,"[1]","[1]","[90882.1]","[-0.559062]","[2.08673]","[105459]","[-0.101992]","[1]","[13]","[0]","[0]","[-592.268]","[-0.0376572]","[6.55187]",105718,2.68406,4,"[290802,201125,96089,24852.5]","[-0.227674,0.299292,-1.36609,0.181668]","[-0.708036,2.00278,-2.09324,-1.09239]","[300384,210456,201540,25434.9]","[0.997793,0.999745,1,1]","[0,0,0,4]","[0,0,0,0]","[-0.815725,-0.697418,-0.889159,-0.807809]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[271553]","[-0.214664]","[-0.684128]","[279598]","[31357.3]","[0]","[1.80927]","[0.811572]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2128.21]",11182.7,"[9621.25,7696.39,2255.49,3208.72]","[]","[15381.5]","[]"
12226,284500,741418,364168,1,14.5588,5.9417e+06,1.26205,1,0.987628,1,1,0.997369,1.0074,1,0,1,0,1,"[1]","[1]","[26363.2]","[1.74764]","[2.85465]","[77972.4]","[0.0271912]","[1]","[13]","[1]","[0]","[82.6926]","[-0.00300443]","[0.304137]",47521.7,-0.903633,4,"[327921,300694,59917.4,21188.8]","[1.65314,0.953315,-2.16658,-0.570118]","[-2.10223,0.889793,2.05878,1.80228]","[888235,448883,265072,25114.9]","[0.993535,0.991533,0.98301,0.982885]","[0,0,0,0]","[0,0,0,0]","[-0.89316,-0.926279,-0.755387,-0.868634]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[351453,309090]","[1.65637,0.954055]","[-2.10836,0.892297]","[954889,461411]","[31003.6,24516.6]","[0,0]","[2.68282,1.77942]","[0.706292,0.658609]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[283.44]",6057.04,"[8508.03,6622.79,6160.75,1626.07]","[]","[29349.9,17879.8]","[]"
12389,284500,736142,364168,1,14.5588,5.9417e+06,1.26205,1,1.00015,1,1,0.99747,0.995972,1,0,1,0,1,"[1]","[1]","[55276.7]","[1.28426]","[-1.58395]","[107481]","[0.0321198]","[1]","[13]","[1]","[0]","[1212.25]","[0.00679029]","[0.938702]",6408.22,1.68072,5,"[256654,153041,70604,60729.7,54073]","[0.753229,1.79252,0.189581,0.0822783,-0.011298]","[2.12865,-1.06701,1.41927,-0.554437,-1.80287]","[333530,472277,72112.9,62509.3,54760.8]","[1,0.948931,1,0.993309,1]","[0,0,0,0,0]","[0,0,0,0,0]","[-0.800423,-0.936327,-0.803712,-0.854122,-0.784348]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[318342]","[0.700727]","[2.03085]","[416033]","[115259]","[0]","[1.46805]","[0.707681]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[720.473]",7506.76,"[3392,9729.29,4019.52,5772.31,2169.56]","[]","[1937.25]","[]"
13618,284500,818162,364168,1,14.5588,5.9417e+06,0.619412,1,0.998696,1,1,1.0473,0.993362,1,0,1,0,1,"[1]","[1]","[46336]","[1.21365]","[-2.20122]","[84861.2]","[-0.0208998]","[1]","[13]","[1]","[0]","[-869.695]","[0.0089565]","[1.20966]",389681,-2.5496,4,"[470929,41170.7,25654.3,23169.8]","[0.662634,2.40056,0.274052,0.427404]","[0.620109,-1.46429,2.63558,-1.10466]","[578875,229102,27336.1,25857.7]","[0.997986,0.970167,0.851342,0.969362]","[0,5,0,0]","[0,0,0,0]","[-0.925623,0.913896,0.38217,-0.763915]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[460427]","[0.660308]","[0.624559]","[564818]","[18863.4]","[0]","[2.30478]","[0.051241]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[851.83]",2217.78,"[6368.81,1432.25,1805.6,1706.2]","[]","[27671]","[]"
15942,284500,825927,364168,1,14.5588,5.9417e+06,0.696077,1,0.996303,1,1,0.994508,0.94093,1,0,1,0,1,"[1]","[1]","[34215.7]","[-2.15094]","[0.931296]","[148998]","[-0.0303192]","[1]","[13]","[1]","[0]","[344.056]","[0.0232441]","[2.40435]",211784,0.844274,6,"[241634,86208.6,81606.1,36104.1,33399.6,24245.6]","[-0.713171,-1.42306,-1.1038,0.168409,-1.77089,-1.99834]","[-1.31781,-1.63692,-2.86575,2.0454,-0.814948,1.92892]","[306448,189720,137374,37495.1,101099,91193.4]","[0.996757,0.995467,0.99783,0.989865,0.918472,0.980778]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[-0.856213,-0.701221,-0.70854,-0.663934,-0.613327,-0.882245]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[290993]","[-0.966837]","[-1.41136]","[452596]","[114283]","[0]","[0.908339]","[0.820982]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[318.732]",4558.39,"[4013.62,8962,3305.64,3475.29,4657.13,3740.85]","[]","[29754.9]","[]"
16309,284500,835501,364168,1,14.5588,5.9417e+06,0.696077,1,0.993424,1,1,0.995987,0.90898,1,0,1,0,1,"[1]","[1]","[119381]","[0.474932]","[2.50838]","[133100]","[-0.0090065]","[-1]","[13]","[1]","[0]","[598.329]","[-0.0192332]","[2.54972]",71903.2,-2.89764,5,"[281410,129457,40626.5,33063.2,30554.2]","[-0.241975,-0.0343353,1.12312,-0.810173,-1.54434]","[0.235545,-1.7676,1.60945,-2.8304,-2.72994]","[290341,130757,69439.3,44989.9,75001.8]","[0.997015,0.996709,0.984651,0.989527,0.992231]","[0,0,0,0,0]","[0,0,0,0,0]","[-0.961532,-0.947038,-0.783719,-0.829372,-0.601303]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[288479]","[-0.220297]","[0.236457]","[296219]","[20520.6]","[0]","[1.83402]","[0.509884]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[594.912]",21733.3,"[4290.12,5958.93,2445.03,2274.86,2068.95]","[]","[2493.06]","[]"
16563,284500,831061,364168,1,14.5588,5.9417e+06,0.75088,1,0.986648,1,1,0.998427,0.947671,1,0,1,0,1,"[1]","[1]","[29141.7]","[1.94791]","[2.11925]","[104277]","[0.103546]","[1]","[13]","[1]","[0]","[-192.724]","[-0.0100954]","[0.948891]",45702.7,0.502004,3,"[281374,204294,42867.3]","[-0.713569,0.968221,0.210217]","[-2.75008,0.404412,-0.515219]","[357092,308017,44303.7]","[1,0.998635,0.998794]","[0,0,0]","[0,0,0]","[-0.892273,-0.7745,0.326425]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[283576]","[-0.730308]","[-2.75159]","[363254]","[21450.7]","[0]","[1.71326]","[0.528744]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[65.7073]",141.312,"[4191.83,2654.52,4199.08]","[]","[12649.1]","[]"
16820,284500,836542,364168,1,14.5588,5.9417e+06,1.24168,1,0.989329,1,1,0.998796,0.989653,1,0,1,0,1,"[1]","[1]","[70419.7]","[1.62667]","[1.85415]","[186031]","[-0.0254478]","[-1]","[13]","[1]","[0]","[1136.18]","[0.00135572]","[0.207362]",8455.16,-1.8145,2,"[296019,236662]","[1.95466,-0.753574]","[-1.33326,1.79511]","[1.06619e+06,307522]","[0.986995,0.998005]","[0,0]","[0,0]","[-0.855147,-0.656133]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[278296,251298]","[1.95317,-0.754359]","[-1.33442,1.79127]","[1.00089e+06,326448]","[7161.55,11232.8]","[0,0]","[0,2.41841]","[-1,0.634077]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[982.175]",2350.49,"[15019.8,3421.71]","[]","[13033.7,0]","[]"
17426,284500,832809,364168,1.34416,14.5588,5.9417e+06,1.32095,1,0.990675,1,1,0.959127,0.956909,1,0,1,0,1,"[1]","[1]","[57887.5]","[0.395196]","[1.06148]","[62467.2]","[0.0473251]","[1]","[13]","[1]","[0]","[-854.147]","[0.00954751]","[1.27606]",108515,1.50728,5,"[416764,230356,188989,63836.2,21090.8]","[1.25862,-0.472725,-0.412252,-1.15019,0.948976]","[-2.88975,-0.362435,0.623319,-1.87346,-0.686638]","[795968,257566,205944,111497,31705]","[0.999846,0.995193,0.99765,1,0.99]","[0,0,4,0,0]","[0,0,0,0,0]","[-0.586917,-0.926603,-0.922673,-0.821735,-0.794127]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[416689]","[1.23424]","[-2.89685]","[779287]","[66305.7]","[0]","[0.863785]","[0.693071]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[572.605]",17012.7,"[8538.39,3047.26,2818.97,2915.52,1205.75]","[]","[1256.97]","[]"
18206,284500,834236,364168,1.0531,14.5588,5.9417e+06,1.22586,1,0.998924,1,1,0.995987,0.897916,1,0,1,0,1,"[1]","[1]","[323566]","[0.691519]","[-1.00988]","[404063]","[-0.0154572]","[-1]","[13]","[1]","[5881.27]","[91.8094]","[-0.00220688]","[0.467832]",10928.3,2.45723,5,"[300334,228891,175254,35980.3,35745]","[-0.451877,-0.525166,0.261262,-2.14985,-0.0659651]","[2.67685,-0.263494,2.45835,0.157192,1.28033]","[332820,262184,181858,156696,36329]","[0.992499,1,0.998204,0.99,0.984283]","[0,0,0,0,0]","[0,0,0,0,0]","[-0.868351,-0.691011,-0.364033,-0.891375,-0.897339]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[483510]","[-0.220669]","[2.59474]","[531394]","[192426]","[0]","[0.7613]","[0.625156]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[21831]",10928.3,"[2187.4,1736.42,1452.61,1478.14,1331.26]","[]","[25749.7]","[]"
18820,284500,838101,364168,1,14.5588,5.9417e+06,0.738662,1,0.987215,1,1,0.996045,0.986343,1,0,1,0,1,"[1]","[1]","[45205.3]","[-0.10724]","[1.18568]","[45465.6]","[0.127396]","[-1]","[13]","[1]","[0]","[717.709]","[-0.00585067]","[0.858531]",63019.3,2.5514,7,"[337600,244930,72007.3,40470.2,34404.5,29132.9,21331.5]","[-0.405147,0.563853,-2.0469,-0.928651,0.497969,-0.975451,-0.839592]","[-1.72341,1.44366,1.58566,-2.2043,0.482556,-0.217059,-0.875825]","[369163,285297,283545,59902.6,39462.5,44558.7,29529.6]","[0.999563,0.995272,0.998532,0.991206,0.983024,0.995389,0.998986]","[0,0,0,0,0,0,0]","[0,0,0,0,0,0,0]","[-0.910253,-0.0857225,-0.841017,-0.948901,-0.757597,-0.633185,-0.875294]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[315024,251021]","[-0.434362,0.525404]","[-1.72712,1.44125]","[347912,286672]","[43259,10683.6]","[0,0]","[1.35318,2.33002]","[0.735437,0.496852]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[341.124]",10490.2,"[4532.65,2798.59,2392.69,2425.21,5979.74,6934.2,1801.65]","[]","[25082.4,0]","[]"
18895,284500,828405,364168,1,14.5588,5.9417e+06,0.619412,1,0.998629,1,1,0.957062,0.998104,1,0,1,0,1,"[1]","[1]","[57396.7]","[-2.2466]","[-0.760782]","[274394]","[-0.00513458]","[-1]","[13]","[1]","[0]","[-476.119]","[0.0415262]","[4.14768]",25939.9,-0.883378,3,"[342309,212570,71254.2]","[1.57107,1.39299,-1.62118]","[2.1902,-1.24604,-0.115212]","[859459,456908,187477]","[1,0.986862,0.98948]","[0,0,4]","[0,0,0]","[-0.942925,-0.961219,0.0872506]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[342151]","[1.58103]","[2.18734]","[866969]","[24561.4]","[0]","[3.92825]","[0.606874]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2635.63]",20882.6,"[19282.1,6358.29,4970.93]","[]","[14722.2]","[]"
20427,284500,938521,364168,1.13607,14.5588,5.9417e+06,1.55465,1,0.996487,1,1,0.996484,0.748931,1,0,1,0,1,"[1]","[1]","[158705]","[-0.171355]","[0.695424]","[161041]","[-0.00260925]","[1]","[13]","[1]","[0]","[-539.791]","[-0.0138715]","[2.55821]",20488.5,-1.70976,4,"[427165,254287,161153,23714.5]","[0.359289,-1.38796,-0.937708,-1.07528]","[-1.17359,2.41914,2.23256,1.56917]","[455915,541775,237992,38942.7]","[0.998217,1,0.99573,1]","[0,0,0,0]","[0,0,0,0]","[-0.575111,-0.908364,-0.938726,-0.726446]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[411628,391562]","[0.327288,-1.25878]","[-1.17326,2.35805]","[434052,752527]","[12519.6,106378]","[0,0]","[1.53601,1.06321]","[0.360441,0.69485]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[4282.18]",828.459,"[5037.39,16906.6,11131.5,1666.8]","[]","[5676.06,13083.4]","[]"
20874,284500,926876,364168,1,14.5588,5.9417e+06,0.738662,1,0.997389,1,1,0.997507,0.991258,1,0,1,0,1,"[1]","[1]","[42392]","[-1.18805]","[2.68472]","[75998.1]","[0.00833893]","[-1]","[13]","[1]","[0]","[-841.603]","[0.0151036]","[1.97729]",136251,-3.12126,2,"[493276,384791]","[2.0446,0.350722]","[-0.767025,2.07981]","[1.93758e+06,411232]","[0.973579,0.996043]","[0,0]","[0,0]","[-0.973797,-0.958211]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[379939]","[0.333423]","[2.08122]","[403649]","[43897.6]","[0]","[1.64741]","[0.622286]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[340.409]",4846.7,"[11418.2,4095.19]","[]","[5836.03]","[]"
21677,284500,934082,364168,1.21239,14.5588,5.9417e+06,1.21412,1,0.997735,1,1,0.99728,1.05554,1,0,1,0,1,"[1]","[1]","[149060]","[0.885975]","[2.72855]","[211491]","[0.00913239]","[1]","[13]","[1]","[0]","[-154.239]","[0.00553148]","[1.2395]",130893,2.52029,3,"[450508,387529,24802.4]","[0.549182,1.14711,-0.944135]","[-1.49003,0.929745,-3.10906]","[523382,672195,37067.7]","[0.998874,0.991404,0.879601]","[0,0,0]","[0,0,0]","[-0.887595,-0.912877,-0.304927]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[448830,362592]","[0.598024,1.18423]","[-1.50946,0.933663]","[536209,648268]","[70844.1,19246]","[0,0]","[1.44848,3.50977]","[0.613828,0.645526]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[5085.41]",5688.9,"[6751.69,14566.8,2939.94]","[]","[11192.8,12991.3]","[]"
22067,284500,933991,364168,1.23475,14.5588,5.9417e+06,1.21412,1,0.987628,1,1,0.998505,1.0074,1,0,1,0,1,"[1]","[1]","[70057.4]","[1.68368]","[2.6168]","[195146]","[-0.158646]","[1]","[13]","[1]","[0]","[161.55]","[0.0272945]","[2.70722]",140879,3.02908,2,"[423708,359355]","[0.6685,1.82928]","[-1.65704,1.01103]","[522772,1.14847e+06]","[0.995559,0.999649]","[0,0]","[0,0]","[-0.756109,-0.699541]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[434384,359323]","[0.634953,1.81046]","[-1.65795,1.00741]","[526388,1.12789e+06]","[39155,20126.7]","[0,0]","[2.70859,2.28843]","[0.72983,0.459734]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[983.306]",8226.75,"[5741.37,6438.78]","[]","[30793.1,1269.31]","[]"
23172,284500,997148,364168,1,14.5588,5.9417e+06,0.351687,1,0.995413,1,1,0.997048,0.936284,1,0,1,0,1,"[1]","[1]","[89867.1]","[2.10536]","[1.99972]","[374381]","[0.0149498]","[-1]","[13]","[1]","[0]","[1600.86]","[-0.0215842]","[3.20976]",369032,2.40204,5,"[297616,111474,90403.5,31847.3,23726.4]","[1.16885,1.42419,1.09022,0.897464,0.404288]","[-1.14714,-0.0856756,-0.639419,1.46115,-1.07092]","[526626,245631,150173,46037.5,26518.2]","[1,0.984479,0.99246,0.895203,0.967885]","[0,0,0,0,0]","[0,0,0,0,0]","[0.0343385,-0.869006,-0.909719,-0.521059,-0.715737]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[461757]","[1.27146]","[-0.854353]","[916614]","[226967]","[0]","[1.24579]","[0.614756]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3661.56]",4023.69,"[4357.15,3527.15,8042.47,2515.82,1928.92]","[]","[11616.5]","[]"
